['785', '74', '606', '234', '385', '51', '112', '450', '704', '338', '141', '531', '920', '848', '799', '369', '282', '329', '440', '493', '106', '192', '308', '792', '575', '256', '954', '215', '996', '469', '689', '753', '834']
['265', '756', '598', '604', '890', '612', '824', '318', '642', '600', '203', '742', '48', '426', '238', '878', '115', '561', '128', '747', '178', '259', '554', '429', '188', '977', '639', '228', '73', '556', '726', '539', '23']
['460', '205', '268', '547', '908', '787', '174', '159', '436', '640', '506', '771', '465', '775', '79', '190', '165', '549', '350', '620', '641', '137', '316', '587', '516', '618', '829', '334', '1', '124', '218', '396', '206']
['670', '602', '72', '791', '573', '180', '62', '652', '711', '129', '577', '319', '589', '956', '176', '156', '767', '515', '722', '695', '211', '406', '874', '287', '230', '854', '950', '483', '75', '957', '373', '969', '101']
['832', '132', '111', '840', '475', '987', '44', '314', '779', '963', '807', '184', '960', '103', '3', '451', '939', '60', '518', '611', '80', '684', '806', '534', '142', '690', '28', '928', '104', '660', '991', '232', '805']
['524', '12', '263', '511', '859', '858', '153', '927', '196', '289', '566', '548', '717', '213', '169', '682', '579', '277', '330', '14', '754', '100', '16', '285', '793', '404', '480', '252', '619', '751', '90', '467', '790']
['138', '750', '119', '781', '714', '189', '543', '519', '292', '219', '837', '929', '616', '195', '510', '306', '81', '222', '525', '250', '102', '968', '305', '447', '932', '260', '5', '55', '630', '801', '528', '650', '591']
['883', '472', '317', '461', '568', '283', '943', '26', '509', '715', '120', '942', '356', '412', '335', '821', '357', '843', '442', '152', '802', '944', '814', '970', '718', '745', '686', '788', '532', '322', '466', '438', '907']
['88', '976', '627', '417', '327', '683', '400', '407', '795', '95', '243', '200', '248', '117', '209', '780', '208', '894', '270', '216', '324', '25', '371', '39', '861', '768', '593', '522', '416', '542', '67', '52']
['456', '187', '699', '700', '66', '572', '413', '725', '264', '930', '838', '595', '796', '693', '247', '936', '729', '656', '676', '559', '875', '284', '730', '8', '851', '940', '662', '673', '744', '68', '155', '78']
['763', '457', '813', '998', '514', '896', '395', '96', '500', '657', '33', '309', '367', '300', '904', '386', '37', '108', '979', '850', '164', '303', '512', '182', '636', '501', '455', '391', '171', '476', '477', '304']
['157', '675', '521', '527', '281', '947', '18', '885', '962', '175', '899', '645', '280', '935', '597', '635', '87', '298', '61', '922', '139', '770', '93', '563', '655', '376', '227', '401', '85', '953', '817', '333']
['482', '204', '638', '97', '680', '967', '623', '973', '870', '765', '114', '965', '537', '392', '398', '966', '261', '380', '328', '819', '365', '58', '307', '275', '494', '562', '435', '863', '551', '271', '915', '485']
['603', '320', '390', '179', '889', '772', '402', '454', '134', '428', '49', '651', '678', '917', '267', '879', '92', '736', '302', '353', '816', '749', '499', '776', '615', '262', '933', '331', '257', '901', '720', '145']
['888', '41', '347', '448', '149', '458', '520', '993', '712', '820', '245', '596', '856', '705', '773', '827', '912', '363', '421', '293', '713', '30', '909', '557', '474', '291', '4', '497', '574', '50', '778', '735']
['719', '177', '594', '921', '10', '760', '478', '868', '632', '809', '56', '654', '663', '183', '473', '984', '42', '666', '685', '446', '116', '852', '538', '249', '278', '325', '731', '644', '173', '47', '193', '36']
['484', '154', '631', '980', '822', '530', '892', '125', '163', '452', '949', '664', '375', '986', '847', '312', '198', '703', '592', '387', '336', '536', '613', '762', '761', '463', '31', '462', '869', '11', '906', '873']
['621', '437', '0', '481', '274', '614', '32', '588', '82', '151', '348', '339', '971', '743', '24', '491', '212', '246', '166', '508', '610', '723', '45', '646', '757', '590', '226', '346', '681', '565', '687', '800']
['911', '624', '358', '240', '251', '419', '972', '672', '871', '964', '181', '86', '633', '38', '608', '580', '297', '766', '628', '221', '9', '71', '581', '43', '567', '782', '235', '505', '997', '504', '733', '489']
['649', '167', '133', '201', '643', '607', '389', '374', '707', '279', '578', '377', '826', '810', '19', '147', '609', '671', '495', '897', '430', '290', '77', '755', '708', '845', '98', '637', '459', '937', '453', '601']
['533', '410', '266', '315', '999', '490', '916', '857', '893', '422', '974', '70', '368', '665', '242', '411', '464', '513', '378', '150', '397', '140', '34', '409', '340', '669', '783', '887', '759', '688', '617', '420']
['724', '311', '804', '811', '362', '586', '352', '545', '199', '161', '273', '399', '737', '6', '876', '647', '91', '210', '105', '919', '301', '425', '470', '76', '900', '2', '231', '54', '394', '981', '224', '739']
['123', '172', '696', '69', '992', '841', '127', '40', '517', '360', '833', '959', '989', '895', '158', '503', '445', '344', '774', '197', '405', '777', '625', '170', '798', '951', '258', '372', '143', '191', '679', '144']
['842', '379', '746', '877', '734', '583', '571', '990', '648', '721', '701', '576', '241', '351', '185', '107', '544', '223', '321', '27', '418', '296', '502', '131', '815', '359', '674', '677', '17', '558', '958', '946']
['341', '403', '65', '983', '831', '225', '880', '860', '764', '253', '938', '818', '255', '7', '839', '239', '89', '727', '913', '168', '605', '931', '740', '113', '529', '886', '934', '295', '789', '229', '393', '118']
['584', '388', '748', '432', '661', '21', '381', '910', '694', '546', '905', '914', '541', '872', '122', '786', '540', '849', '836', '444', '752', '866', '884', '564', '294', '903', '194', '22', '15', '758', '326', '35']
['507', '441', '569', '599', '797', '622', '237', '361', '523', '160', '109', '738', '126', '135', '13', '449', '443', '29', '862', '629', '706', '59', '286', '555', '233', '692', '323', '784', '668', '366', '439', '535']
['57', '846', '337', '288', '961', '479', '207', '313', '553', '898', '709', '982', '891', '828', '492', '269', '431', '488', '202', '853', '408', '148', '486', '84', '626', '214', '658', '496', '659', '217', '364', '99']
['94', '994', '423', '220', '918', '349', '844', '424', '63', '471', '978', '925', '310', '882', '254', '343', '794', '550', '427', '414', '585', '468', '702', '952', '332', '370', '383', '276', '830', '146', '162', '698']
['948', '945', '20', '667', '988', '136', '728', '433', '526', '272', '716', '382', '355', '415', '244', '835', '865', '582', '552', '812', '342', '299', '710', '985', '186', '769', '825', '823', '697', '803', '83', '653']
