['582', '328', '222', '549', '754', '391', '759', '402']
['89', '479', '896', '529', '495', '18', '834', '469']
['419', '698', '245', '953', '845', '197', '436', '194']
['576', '306', '16', '664', '583', '795', '923', '420']
['592', '200', '957', '916', '146', '88', '202', '587']
['381', '520', '926', '247', '537', '459', '311', '237']
['91', '368', '917', '780', '531', '977', '715', '12']
['298', '596', '846', '356', '545', '650', '369', '59']
['511', '169', '745', '765', '3', '348', '329', '640']
['285', '628', '382', '57', '196', '440', '593', '974']
['74', '392', '242', '286', '552', '867', '437', '96']
['361', '107', '371', '487', '825', '273', '612', '615']
['949', '950', '228', '77', '544', '506', '727', '32']
['569', '733', '955', '354', '990', '898', '812', '750']
['712', '914', '984', '684', '270', '82', '578', '872']
['670', '960', '546', '274', '513', '993', '389', '603']
['719', '751', '658', '411', '843', '179', '575', '327']
['51', '925', '558', '516', '579', '899', '291', '609']
['50', '248', '66', '831', '212', '744', '104', '386']
['879', '132', '94', '177', '547', '406', '38', '236']
['725', '621', '447', '987', '34', '669', '349', '465']
['232', '142', '980', '13', '555', '462', '629', '813']
['418', '809', '315', '358', '387', '25', '134', '875']
['133', '49', '696', '563', '491', '761', '151', '956']
['68', '87', '842', '267', '918', '884', '720', '493']
['457', '486', '988', '445', '543', '159', '501', '204']
['347', '806', '803', '652', '613', '363', '869', '157']
['289', '518', '970', '710', '231', '936', '738', '355']
['634', '417', '342', '393', '839', '162', '827', '559']
['471', '313', '128', '703', '143', '829', '992', '28']
['850', '244', '856', '862', '35', '243', '525', '90']
['47', '753', '762', '672', '793', '677', '573', '619']
['912', '130', '464', '989', '187', '601', '808', '773']
['480', '154', '470', '894', '115', '264', '308', '646']
['656', '888', '620', '48', '101', '398', '824', '799']
['287', '676', '821', '688', '671', '716', '85', '207']
['262', '337', '259', '940', '886', '280', '618', '983']
['188', '891', '466', '446', '530', '352', '5', '283']
['711', '837', '129', '645', '667', '230', '55', '995']
['606', '749', '735', '509', '631', '23', '728', '339']
['439', '147', '702', '763', '655', '915', '484', '782']
['310', '0', '855', '428', '644', '665', '599', '362']
['602', '332', '561', '198', '674', '852', '815', '64']
['42', '802', '127', '666', '394', '883', '496', '122']
['897', '416', '794', '432', '796', '422', '156', '11']
['905', '378', '910', '448', '395', '71', '78', '927']
['730', '76', '707', '494', '272', '240', '10', '538']
['7', '233', '954', '423', '109', '797', '430', '533']
['193', '535', '301', '787', '986', '859', '300', '938']
['504', '251', '60', '43', '475', '86', '550', '235']
['119', '907', '895', '415', '945', '693', '760', '451']
['367', '427', '515', '604', '98', '739', '324', '214']
['709', '979', '878', '216', '967', '173', '322', '383']
['218', '635', '219', '79', '67', '205', '673', '203']
['217', '704', '607', '958', '857', '41', '288', '902']
['502', '158', '717', '772', '961', '944', '408', '876']
['276', '364', '33', '353', '429', '775', '598', '297']
['774', '694', '503', '14', '292', '804', '791', '241']
['404', '45', '307', '124', '141', '973', '83', '568']
['69', '53', '282', '540', '836', '662', '499', '474']
['210', '651', '473', '776', '594', '152', '396', '126']
['263', '39', '44', '892', '384', '570', '453', '277']
['224', '701', '54', '566', '792', '996', '682', '414']
['36', '932', '887', '943', '965', '275', '622', '9']
['586', '863', '946', '305', '617', '323', '178', '138']
['399', '136', '164', '180', '928', '165', '341', '186']
['911', '463', '246', '748', '482', '171', '882', '421']
['654', '757', '75', '801', '120', '835', '637', '521']
['253', '110', '870', '691', '20', '847', '880', '807']
['184', '752', '223', '344', '268', '40', '238', '844']
['585', '113', '153', '779', '226', '72', '346', '370']
['741', '260', '478', '685', '560', '567', '294', '444']
['343', '234', '290', '335', '438', '959', '554', '2']
['866', '8', '588', '213', '467', '681', '148', '861']
['972', '195', '597', '678', '309', '330', '595', '167']
['971', '865', '6', '373', '426', '295', '201', '769']
['734', '117', '729', '919', '316', '713', '641', '176']
['539', '46', '407', '781', '4', '254', '541', '103']
['732', '966', '542', '170', '150', '441', '70', '874']
['770', '293', '265', '333', '365', '123', '722', '766']
['553', '816', '388', '99', '255', '868', '562', '726']
['913', '199', '334', '978', '683', '208', '517', '92']
['140', '376', '26', '663', '833', '325', '901', '455']
['97', '577', '258', '160', '999', '461', '853', '814']
['434', '80', '385', '500', '841', '172', '168', '81']
['790', '723', '379', '822', '526', '935', '299', '571']
['805', '636', '403', '252', '250', '443', '963', '114']
['510', '413', '565', '409', '890', '851', '778', '519']
['647', '653', '714', '832', '687', '771', '994', '460']
['454', '303', '433', '19', '885', '84', '182', '820']
['611', '743', '458', '630', '281', '724', '163', '610']
['489', '708', '819', '227', '483', '860', '62', '37']
['657', '192', '321', '145', '679', '261', '181', '947']
['616', '858', '605', '112', '65', '581', '397', '893']
['312', '345', '648', '721', '934', '937', '125', '737']
['789', '848', '22', '975', '106', '100', '922', '405']
['532', '380', '639', '507', '642', '116', '784', '505']
['24', '931', '63', '633', '877', '810', '982', '190']
