['817', '481']
['574', '420']
['566', '309']
['612', '125']
['656', '734']
['935', '741']
['483', '58']
['905', '657']
['111', '445']
['731', '295']
['517', '490']
['194', '642']
['72', '940']
['826', '441']
['143', '628']
['486', '238']
['489', '391']
['655', '351']
['83', '768']
['439', '522']
['109', '934']
['461', '721']
['797', '764']
['138', '950']
['944', '512']
['705', '523']
['64', '750']
['259', '620']
['607', '169']
['337', '784']
['8', '331']
['308', '724']
['966', '983']
['959', '181']
['492', '803']
['916', '635']
['866', '141']
['767', '54']
['500', '123']
['313', '597']
['462', '749']
['407', '807']
['11', '464']
['627', '63']
['919', '640']
['815', '188']
['435', '928']
['166', '937']
['322', '501']
['201', '706']
['956', '745']
['465', '867']
['897', '902']
['73', '291']
['974', '893']
['518', '687']
['153', '558']
['50', '653']
['541', '193']
['192', '261']
['52', '339']
['895', '648']
['93', '932']
['215', '233']
['184', '707']
['624', '303']
['355', '205']
['232', '763']
['802', '167']
['884', '421']
['307', '292']
['778', '297']
['204', '75']
['822', '359']
['761', '589']
['871', '401']
['672', '221']
['837', '103']
['873', '408']
['579', '108']
['315', '217']
['547', '15']
['266', '94']
['197', '148']
['279', '426']
['806', '787']
['554', '268']
['319', '393']
['931', '960']
['533', '661']
['639', '958']
['172', '371']
['9', '952']
['977', '692']
['422', '237']
['379', '283']
['733', '973']
['499', '726']
['444', '361']
['982', '888']
['860', '376']
['921', '70']
['55', '230']
['218', '270']
['863', '97']
['191', '42']
['521', '329']
['766', '78']
['469', '796']
['915', '185']
['785', '695']
['363', '670']
['622', '285']
['949', '244']
['466', '304']
['729', '317']
['428', '899']
['585', '957']
['609', '495']
['890', '562']
['699', '748']
['269', '235']
['431', '925']
['476', '810']
['412', '390']
['425', '114']
['693', '962']
['602', '632']
['868', '198']
['824', '265']
['542', '678']
['242', '220']
['989', '930']
['665', '658']
['165', '136']
['798', '458']
['117', '278']
['999', '965']
['673', '40']
['540', '199']
['498', '496']
['771', '226']
['176', '387']
['300', '77']
['804', '638']
['716', '87']
['349', '513']
['994', '775']
['984', '920']
['156', '5']
['580', '550']
['898', '530']
['282', '254']
['894', '85']
['354', '208']
['618', '690']
['120', '474']
['346', '89']
['419', '423']
['56', '529']
['825', '397']
['696', '239']
['178', '885']
['210', '644']
['519', '413']
['654', '856']
['616', '162']
['829', '180']
['447', '400']
['608', '883']
['511', '57']
['595', '21']
['202', '177']
['287', '67']
['468', '901']
['740', '134']
['4', '603']
['525', '324']
['834', '694']
['127', '39']
['549', '532']
['333', '241']
['686', '861']
['586', '669']
['296', '599']
['332', '299']
['451', '280']
['551', '715']
['872', '37']
['746', '537']
['939', '728']
['189', '578']
['575', '477']
['488', '718']
['102', '214']
['49', '717']
['81', '460']
['739', '358']
['427', '320']
['582', '343']
['163', '260']
['381', '534']
['891', '676']
['947', '417']
['91', '843']
['22', '908']
['257', '809']
['660', '735']
['631', '370']
['943', '264']
['249', '614']
['754', '936']
['98', '17']
['634', '338']
['701', '0']
['548', '139']
['336', '61']
['909', '725']
['82', '330']
['881', '651']
['792', '255']
['251', '527']
['877', '347']
['132', '968']
['110', '790']
['833', '137']
['685', '636']
['99', '203']
['65', '663']
['160', '645']
['649', '267']
['961', '301']
['723', '641']
['3', '933']
['452', '418']
['366', '552']
['615', '430']
['674', '437']
['105', '963']
['479', '990']
['377', '414']
['732', '515']
['389', '25']
['340', '187']
['274', '212']
['256', '470']
['224', '467']
['680', '45']
['805', '482']
['722', '759']
['142', '14']
['892', '743']
['971', '434']
['231', '213']
['852', '106']
['1', '816']
['839', '886']
['838', '440']
['457', '41']
['456', '344']
['543', '154']
['128', '225']
['577', '88']
['531', '755']
['625', '116']
['276', '869']
['107', '383']
['356', '569']
['683', '323']
['556', '972']
['293', '411']
['168', '314']
['646', '773']
['842', '828']
['263', '704']
['164', '606']
['144', '987']
['986', '450']
['593', '438']
['118', '129']
['312', '571']
['209', '6']
['772', '849']
['795', '173']
['190', '171']
['720', '941']
['151', '130']
['671', '436']
['926', '918']
['375', '182']
['581', '762']
['799', '62']
['896', '353']
['563', '124']
['86', '975']
['993', '262']
['234', '621']
['449', '250']
['487', '348']
['271', '424']
['155', '539']
['289', '507']
['874', '32']
['666', '509']
['374', '216']
['432', '954']
['352', '2']
['294', '325']
['903', '240']
['652', '227']
['876', '493']
['368', '30']
['536', '917']
['306', '700']
['382', '864']
['647', '738']
['95', '245']
['791', '605']
['981', '927']
['443', '684']
['79', '433']
['979', '544']
['362', '846']
['831', '406']
['912', '80']
['780', '752']
['20', '855']
['765', '454']
['788', '727']
['976', '405']
['814', '478']
['392', '737']
['967', '442']
['316', '857']
['179', '969']
['565', '887']
['668', '112']
['252', '730']
['71', '84']
['115', '611']
['147', '572']
['341', '288']
['480', '808']
['992', '946']
['186', '398']
['69', '90']
['236', '836']
['47', '473']
['149', '584']
['395', '819']
['953', '446']
['36', '900']
['782', '281']
['27', '491']
['485', '813']
['350', '101']
['158', '364']
['7', '978']
['516', '913']
['630', '345']
['404', '524']
['131', '150']
['601', '463']
['841', '135']
['623', '206']
['328', '818']
['567', '847']
['386', '760']
['769', '559']
['613', '24']
['146', '396']
['904', '365']
['388', '600']
['758', '907']
['555', '403']
['253', '246']
['12', '38']
['326', '174']
['938', '369']
['659', '840']
['942', '691']
['629', '92']
['302', '820']
['526', '416']
['34', '811']
['713', '910']
['779', '207']
['688', '832']
['497', '985']
['756', '175']
['800', '882']
['335', '922']
['104', '991']
['870', '140']
['475', '122']
['33', '284']
['862', '924']
['801', '272']
['996', '535']
['59', '152']
['845', '31']
['998', '878']
['409', '367']
['448', '503']
['698', '35']
['604', '736']
['514', '505']
['455', '29']
['311', '48']
['286', '557']
['546', '28']
['945', '914']
['357', '677']
['402', '789']
['310', '679']
['774', '588']
['248', '121']
['553', '576']
['596', '384']
['794', '318']
['995', '753']
['229', '858']
['528', '591']
['594', '587']
['951', '222']
['520', '43']
['637', '697']
['394', '372']
['703', '823']
['776', '46']
['793', '667']
['848', '219']
['126', '830']
['568', '360']
['399', '865']
['711', '880']
['709', '378']
['10', '243']
['742', '561']
['13', '504']
['133', '570']
['506', '16']
['560', '342']
['76', '583']
['610', '853']
['770', '170']
['247', '643']
['757', '980']
['850', '702']
['964', '321']
['472', '18']
['429', '196']
['714', '538']
['650', '906']
['592', '327']
['157', '100']
['273', '889']
['51', '821']
['459', '415']
['689', '911']
['719', '290']
['502', '26']
['744', '223']
['812', '410']
['545', '681']
['44', '161']
['380', '119']
['494', '626']
['453', '66']
['277', '60']
['510', '948']
['74', '844']
['275', '835']
['929', '68']
['183', '564']
['471', '385']
['854', '373']
['113', '783']
['827', '298']
['781', '484']
['675', '53']
['970', '258']
['633', '195']
['875', '159']
['619', '573']
['777', '751']
['664', '598']
['997', '923']
['19', '682']
['708', '955']
['712', '859']
['786', '879']
['200', '851']
['211', '508']
['988', '617']
['747', '145']
['96', '710']
['334', '590']
['23', '228']
['662']
['305']
