['871', '489', '608', '701', '456', '143', '295', '448', '795', '249', '342', '954', '87', '45', '738', '257', '922', '44', '716', '858']
['490', '635', '477', '886', '365', '702', '967', '998', '8', '692', '901', '645', '603', '951', '993', '285', '418', '339', '51', '564']
['611', '819', '152', '313', '59', '404', '910', '148', '238', '333', '939', '181', '709', '691', '215', '966', '19', '457', '11', '159']
['587', '10', '263', '926', '5', '475', '708', '69', '408', '293', '986', '834', '27', '243', '626', '549', '300', '683', '270', '441']
['123', '407', '260', '942', '892', '606', '21', '543', '189', '247', '749', '898', '86', '726', '953', '804', '495', '896', '42', '374']
['734', '307', '612', '984', '427', '343', '32', '499', '867', '945', '903', '754', '85', '12', '64', '67', '907', '846', '445', '402']
['150', '167', '173', '617', '414', '394', '741', '228', '30', '337', '105', '548', '137', '586', '77', '134', '303', '514', '943', '529']
['108', '162', '554', '546', '426', '636', '710', '649', '700', '299', '48', '360', '95', '2', '854', '199', '740', '72', '806', '850']
['231', '920', '516', '363', '435', '784', '346', '187', '826', '3', '416', '699', '188', '309', '175', '130', '469', '60', '145', '20']
['868', '117', '385', '211', '438', '821', '621', '370', '983', '463', '536', '978', '413', '271', '135', '99', '248', '952', '176', '40']
['615', '776', '133', '213', '101', '294', '439', '23', '538', '697', '280', '25', '449', '153', '589', '296', '388', '70', '601', '354']
['992', '890', '511', '843', '717', '918', '652', '332', '977', '379', '136', '605', '206', '695', '833', '855', '973', '927', '411', '501']
['93', '640', '425', '347', '157', '450', '524', '241', '120', '297', '141', '758', '750', '91', '971', '498', '197', '756', '71', '233']
['396', '112', '244', '320', '563', '690', '82', '209', '664', '633', '990', '771', '728', '904', '989', '887', '195', '149', '356', '894']
['580', '340', '665', '292', '338', '786', '656', '368', '764', '629', '722', '35', '272', '829', '863', '142', '480', '37', '721', '729']
['810', '946', '399', '774', '390', '277', '28', '246', '646', '38', '785', '565', '497', '790', '655', '707', '872', '223', '58', '63']
['97', '733', '57', '598', '567', '384', '857', '969', '996', '959', '802', '913', '687', '485', '679', '965', '703', '712', '353', '963']
['979', '900', '192', '258', '803', '423', '461', '930', '291', '555', '443', '515', '174', '781', '494', '527', '669', '924', '899', '960']
['860', '885', '15', '202', '491', '696', '875', '780', '131', '670', '464', '53', '653', '29', '341', '839', '107', '234', '544', '74']
['129', '326', '140', '777', '380', '528', '512', '290', '519', '191', '906', '928', '643', '78', '158', '177', '336', '938', '845', '841']
