['287', '928', '619', '198', '768', '58', '903', '690', '947', '23', '526', '310', '193', '940', '36', '826', '97', '642', '226', '341', '915', '576', '187', '558', '675', '240', '703', '213', '632', '734', '31']
['942', '389', '868', '83', '736', '472', '209', '116', '289', '525', '839', '617', '533', '444', '907', '877', '580', '284', '491', '692', '756', '886', '57', '347', '402', '638', '853', '899', '610', '500', '233']
['434', '336', '174', '599', '528', '722', '344', '252', '959', '380', '365', '423', '418', '672', '170', '89', '960', '850', '204', '32', '177', '898', '691', '829', '744', '104', '303', '612', '322', '178', '929']
['222', '120', '482', '957', '148', '578', '443', '461', '585', '379', '299', '545', '381', '413', '725', '469', '30', '836', '872', '902', '199', '319', '203', '368', '242', '14', '143', '403', '835', '13', '772']
['179', '88', '265', '641', '72', '382', '862', '894', '492', '701', '239', '247', '591', '334', '184', '169', '125', '208', '305', '216', '925', '99', '19', '739', '258', '337', '786', '467', '11', '746', '3']
['33', '627', '126', '510', '185', '2', '95', '180', '154', '150', '944', '910', '820', '70', '710', '415', '74', '606', '281', '659', '251', '878', '103', '750', '682', '713', '698', '69', '579', '16', '888']
['840', '435', '546', '559', '684', '460', '924', '430', '142', '524', '845', '702', '544', '889', '356', '290', '601', '56', '270', '407', '783', '182', '667', '458', '700', '235', '895', '91', '892', '406', '609']
['41', '130', '398', '452', '400', '605', '693', '788', '276', '149', '129', '935', '649', '666', '594', '945', '550', '922', '291', '76', '60', '349', '361', '195', '887', '847', '43', '7', '117', '932', '263']
['230', '173', '721', '514', '351', '455', '625', '377', '494', '158', '592', '764', '803', '450', '565', '680', '792', '48', '821', '688', '298', '717', '844', '228', '480', '357', '385', '283', '648', '44', '353']
['264', '561', '781', '747', '67', '832', '678', '593', '857', '8', '331', '562', '904', '172', '101', '532', '669', '584', '807', '767', '273', '520', '28', '671', '530', '302', '466', '330', '814', '9', '501']
['674', '71', '160', '401', '956', '884', '731', '604', '870', '793', '650', '596', '571', '320', '10', '78', '138', '730', '511', '440', '40', '854', '518', '816', '253', '815', '748', '810', '21', '292', '419']
['134', '236', '316', '373', '38', '457', '171', '39', '431', '22', '660', '53', '842', '484', '503', '304', '405', '715', '227', '77', '938', '229', '595', '574', '98', '107', '488', '476', '622', '156', '615']
['505', '913', '259', '906', '519', '297', '891', '939', '818', '196', '554', '640', '828', '317', '87', '268', '855', '644', '856', '92', '696', '629', '55', '804', '741', '314', '477', '61', '175', '426', '587']
['812', '295', '325', '506', '231', '119', '623', '326', '954', '489', '743', '132', '795', '442', '507', '521', '339', '433', '422', '686', '144', '428', '496', '637', '262', '893', '941', '668', '624', '323', '876']
