['434', '693', '595', '990', '452', '52', '138', '155', '162', '883']
['48', '550', '251', '909', '633', '643', '222', '11', '467', '348']
['100', '649', '772', '784', '577', '904', '239', '639', '333', '555']
['915', '160', '715', '166', '492', '514', '95', '386', '321', '706']
['45', '130', '936', '816', '496', '713', '214', '330', '113', '156']
['303', '988', '114', '858', '487', '184', '522', '380', '562', '971']
['644', '828', '202', '268', '917', '178', '871', '902', '712', '177']
['506', '656', '565', '964', '636', '545', '832', '625', '876', '227']
['749', '442', '366', '257', '689', '61', '987', '247', '231', '654']
['500', '408', '413', '359', '993', '800', '572', '167', '600', '2']
['599', '674', '747', '176', '879', '792', '482', '31', '264', '75']
['616', '777', '502', '520', '626', '722', '428', '295', '769', '895']
['781', '460', '866', '280', '174', '628', '46', '864', '606', '235']
['406', '549', '173', '622', '88', '736', '243', '191', '319', '106']
['730', '0', '260', '136', '935', '718', '729', '476', '564', '400']
['609', '671', '509', '629', '342', '374', '910', '952', '369', '967']
['512', '420', '401', '685', '34', '684', '884', '985', '416', '737']
['109', '925', '703', '598', '826', '230', '799', '503', '579', '134']
['574', '887', '782', '581', '417', '316', '81', '997', '975', '732']
['775', '774', '393', '672', '493', '940', '398', '817', '456', '783']
['724', '976', '317', '707', '780', '4', '91', '422', '750', '122']
['678', '224', '820', '480', '856', '421', '204', '881', '53', '148']
['163', '998', '186', '969', '70', '84', '524', '234', '367', '485']
['244', '129', '851', '146', '727', '537', '679', '529', '541', '16']
['859', '941', '459', '19', '838', '930', '508', '711', '957', '809']
['213', '752', '681', '556', '651', '288', '64', '868', '608', '687']
['738', '663', '897', '865', '836', '894', '25', '489', '343', '28']
['984', '924', '219', '457', '648', '491', '350', '735', '315', '898']
['339', '287', '779', '999', '318', '277', '475', '169', '436', '483']
['518', '484', '845', '120', '763', '236', '847', '300', '344', '841']
['497', '226', '439', '927', '206', '627', '432', '603', '405', '911']
['699', '979', '250', '139', '591', '922', '450', '96', '313', '823']
['882', '414', '771', '906', '669', '9', '567', '346', '58', '673']
['368', '759', '220', '789', '66', '873', '325', '77', '804', '142']
['165', '659', '299', '956', '448', '444', '409', '907', '141', '112']
['589', '955', '638', '65', '511', '536', '569', '38', '797', '690']
['372', '203', '347', '546', '266', '54', '307', '108', '585', '26']
['705', '542', '965', '446', '121', '361', '363', '710', '970', '819']
['115', '928', '252', '312', '973', '92', '642', '423', '111', '686']
['262', '105', '164', '187', '145', '677', '290', '73', '458', '878']
['905', '890', '35', '10', '793', '24', '465', '189', '140', '259']
['992', '376', '356', '479', '557', '535', '461', '696', '69', '30']
['68', '119', '426', '746', '271', '857', '914', '850', '867', '978']
['743', '966', '353', '469', '592', '521', '787', '874', '748', '221']
['282', '758', '127', '523', '776', '190', '526', '385', '242', '796']
['328', '605', '132', '395', '803', '149', '379', '611', '704', '157']
['40', '404', '354', '418', '310', '937', '607', '815', '254', '888']
['682', '390', '766', '351', '89', '590', '548', '635', '241', '43']
['785', '827', '798', '327', '842', '554', '123', '98', '358', '963']
['504', '807', '945', '276', '802', '440', '373', '279', '767', '532']
['812', '478', '719', '296', '701', '664', '435', '601', '445', '891']
['311', '950', '786', '991', '255', '265', '834', '216', '944', '610']
['171', '621', '20', '573', '59', '455', '17', '278', '83', '662']
['60', '698', '515', '553', '720', '302', '225', '44', '172', '692']
['751', '980', '885', '833', '886', '397', '427', '597', '575', '947']
['552', '946', '788', '468', '382', '757', '267', '229', '825', '256']
['794', '929', '67', '588', '443', '596', '117', '292', '135', '301']
['22', '741', '613', '438', '694', '939', '901', '760', '961', '215']
['843', '153', '63', '384', '615', '559', '683', '7', '810', '233']
['42', '477', '3', '118', '97', '530', '80', '875', '128', '212']
['161', '583', '472', '371', '490', '56', '846', '453', '837', '334']
['680', '57', '510', '198', '790', '104', '284', '217', '932', '974']
['840', '407', '365', '188', '753', '449', '137', '860', '306', '818']
['983', '660', '517', '322', '670', '953', '101', '580', '337', '159']
['494', '320', '544', '12', '377', '433', '82', '614', '125', '246']
['578', '721', '36', '586', '762', '808', '714', '778', '447', '375']
['240', '814', '568', '926', '466', '182', '551', '571', '85', '949']
['249', '587', '516', '378', '852', '23', '989', '8', '18', '211']
['726', '640', '274', '495', '923', '464', '200', '821', '634', '666']
['637', '41', '412', '275', '995', '854', '768', '618', '419', '470']
['835', '540', '283', '691', '717', '962', '584', '754', '908', '744']
['248', '665', '764', '144', '94', '977', '981', '387', '695', '62']
['709', '381', '195', '332', '829', '454', '742', '594', '700', '806']
['604', '289', '471', '756', '410', '168', '903', '619', '528', '862']
['15', '49', '630', '646', '770', '389', '308', '658', '415', '181']
['357', '21', '175', '896', '566', '942', '209', '391', '620', '488']
['152', '481', '87', '273', '547', '844', '72', '298', '396', '47']
['652', '513', '877', '675', '576', '245', '402', '863', '773', '958']
['739', '253', '725', '811', '1', '269', '55', '498', '870', '207']
['795', '154', '437', '650', '916', '880', '5', '199', '602', '533']
['462', '653', '362', '39', '110', '431', '201', '403', '960', '183']
['74', '116', '76', '429', '765', '131', '210', '6', '531', '921']
['158', '920', '150', '323', '349', '474', '919', '539', '326', '889']
['560', '430', '294', '563', '933', '13', '697', '335', '813', '205']
['855', '345', '314', '761', '258', '147', '943', '79', '192', '982']
['647', '331', '237', '473', '561', '355', '657', '50', '839', '185']
['285', '364', '441', '645', '570', '107', '143', '208', '223', '329']
['951', '716', '286', '848', '986', '849', '831', '194', '151', '399']
['582', '507', '232', '51', '180', '734', '900', '655', '593', '90']
['745', '913', '938', '102', '340', '624', '994', '388', '228', '424']
['370', '688', '623', '805', '27', '740', '338', '824', '291', '304']
['612', '731', '196', '934', '525', '755', '893', '632', '133', '272']
['297', '197', '383', '29', '519', '193', '853', '733', '892', '14']
['263', '527', '667', '959', '392', '899', '702', '861', '71', '830']
['352', '869', '341', '179', '538', '324', '261', '499', '425', '309']
['954', '534', '543', '791', '93', '218', '931', '948', '641', '238']
['463', '103', '505', '676', '996', '124', '170', '972', '631', '912']
['78', '305', '801', '293', '86', '723', '394', '270', '668', '451']
['99', '558', '281', '728', '37', '968', '486', '33', '872', '360']
['661', '822', '617', '126', '411', '918', '32', '708', '501', '336']
