['581', '370', '507', '307', '122', '137', '701', '178', '1', '667', '77', '732', '644', '543', '615', '515', '632', '514', '441', '435', '206', '187', '287', '272', '660', '491', '109', '709', '510', '679', '627', '583', '246', '367', '350', '230', '107', '619', '39']
['493', '420', '20', '64', '68', '351', '46', '646', '218', '685', '360', '161', '683', '698', '112', '256', '250', '50', '33', '689', '614', '636', '725', '629', '413', '375', '577', '199', '386', '336', '713', '378', '279', '580', '521', '489', '262', '488', '289']
['519', '144', '553', '532', '393', '180', '682', '362', '693', '260', '228', '637', '691', '288', '202', '440', '695', '110', '108', '337', '27', '541', '476', '558', '518', '486', '41', '303', '579', '499', '700', '681', '14', '140', '114', '702', '404', '90', '549']
['575', '177', '247', '300', '708', '578', '28', '566', '706', '656', '105', '392', '390', '409', '147', '589', '724', '717', '69', '123', '238', '465', '428', '215', '158', '130', '241', '433', '418', '174', '302', '677', '192', '517', '71', '522', '705', '397', '305']
['83', '430', '394', '641', '572', '162', '321', '222', '127', '195', '559', '483', '538', '334', '319', '563', '60', '328', '197', '408', '183', '18', '179', '203', '588', '15', '124', '426', '366', '662', '22', '655', '461', '326', '520', '648', '354', '674', '436']
['47', '383', '310', '675', '446', '617', '458', '23', '358', '175', '485', '612', '117', '597', '52', '111', '308', '728', '513', '564', '253', '209', '264', '552', '231', '676', '424', '640', '606', '739', '234', '535', '712', '626', '181', '75', '620', '335', '371']
['119', '449', '487', '283', '284', '601', '699', '511', '468', '86', '618', '697', '484', '716', '469', '467', '254', '249', '182', '658', '631', '516', '361', '567', '672', '401', '188', '226', '715', '98', '191', '600', '277', '84', '221', '542', '38', '120', '670']
['599', '121', '479', '678', '282', '67', '738', '349', '398', '471', '6', '528', '13', '429', '306', '172', '150', '353', '556', '374', '584', '251', '548', '402', '329', '85', '194', '509', '596', '609', '331', '322', '574', '100', '25', '464', '239', '571', '146']
['17', '602', '512', '737', '51', '537', '159', '407', '474', '437', '248', '76', '630', '208', '106', '649', '568', '592', '278', '65', '155', '586', '585', '448', '128', '425', '421', '533', '297', '295', '167', '396', '99', '245', '339', '333', '444', '735', '58']
['293', '454', '710', '298', '545', '647', '546', '477', '286', '70', '456', '423', '410', '267', '54', '317', '280', '102', '330', '49', '547', '163', '391', '727', '216', '431', '395', '385', '320', '555', '665', '703', '211', '285', '185', '149', '204', '200', '55']
['415', '387', '427', '565', '259', '381', '207', '304', '103', '475', '653', '403', '184', '406', '347', '342', '136', '684', '138', '3', '126', '332', '63', '274', '657', '529', '405', '411', '148', '733', '156', '364', '692', '736', '131', '171', '59', '312', '153']
['460', '694', '654', '490', '452', '389', '214', '165', '550', '605', '680', '96', '384', '193', '29', '616', '37', '129', '292', '240', '91', '157', '472', '45', '88', '56', '189', '9', '432', '570', '232', '186', '133', '324', '527', '276', '73', '141', '377']
['557', '582', '78', '363', '379', '365', '380', '43', '48', '531', '359', '296', '323', '255', '236', '164', '160', '422', '372', '643', '721', '166', '492', '554', '154', '294', '463', '501', '443', '497', '40', '642', '417', '265', '671', '376', '628', '72', '388']
['723', '720', '495', '590', '442', '506', '382', '34', '707', '301', '357', '242', '66', '666', '729', '101', '210', '686', '652', '201', '635', '624', '341', '455', '457', '668', '345', '125', '634', '526', '696', '711', '369', '225', '82', '714', '661', '30', '663']
['603', '502', '0', '560', '151', '416', '220', '261', '224', '104', '610', '734', '53', '31', '212', '500', '281', '80', '115', '470', '170', '608', '89', '173', '327', '118', '607', '16', '237', '731', '176', '26', '348', '562', '505', '62', '24', '530', '598']
['504', '198', '223', '233', '299', '480', '434', '482', '400', '687', '534', '2', '659', '496', '10', '439', '168', '311', '315', '169', '573', '638', '503', '21', '540', '213', '32', '462', '268', '604', '35', '79', '275', '314', '593', '451', '719', '412', '523']
['633', '269', '730', '539', '92', '536', '116', '594', '11', '257', '229', '94', '143', '290', '57', '97', '447', '356', '591', '373', '459', '93', '340', '478', '569', '313', '134', '8', '325', '481', '5', '291', '271', '621', '726', '243', '673', '419', '625']
['645', '450', '142', '74', '19', '219', '258', '650', '494', '145', '235', '561', '42', '611', '81', '651', '61', '525', '36', '623', '587', '595', '196', '346', '551', '152', '669', '205', '368', '132', '4', '343', '622', '445', '44', '217', '263', '352', '544']
['438', '688', '87', '639', '316', '453', '344', '722', '338', '12', '227', '266', '270', '498', '7', '244', '690', '718', '664', '524', '508', '399', '576', '273', '704', '414', '139', '613', '95', '309', '113', '355', '135', '473', '318', '252', '190', '466']
