['302', '405', '822', '317', '967', '174', '338', '357', '682', '226', '572', '543', '932', '404', '895', '527', '354', '838', '82', '268', '720', '888', '582', '680', '622']
['456', '810', '885', '510', '31', '450', '955', '521', '783', '697', '886', '69', '999', '426', '245', '956', '385', '842', '835', '121', '554', '66', '930', '874', '685']
['751', '273', '602', '203', '388', '370', '30', '880', '716', '242', '0', '379', '375', '942', '646', '507', '816', '575', '655', '859', '657', '194', '119', '272', '334']
['386', '178', '677', '792', '512', '337', '559', '190', '693', '606', '213', '769', '753', '299', '894', '285', '526', '706', '146', '844', '620', '902', '731', '951', '401']
['863', '974', '537', '42', '831', '893', '675', '509', '969', '40', '6', '303', '83', '100', '964', '48', '556', '996', '442', '897', '968', '936', '869', '704', '712']
['58', '421', '366', '25', '329', '640', '16', '925', '1', '752', '139', '710', '343', '866', '435', '453', '868', '92', '413', '408', '192', '290', '274', '972', '138']
['919', '181', '729', '176', '923', '518', '298', '364', '924', '821', '439', '429', '179', '579', '145', '254', '464', '52', '440', '230', '457', '410', '418', '583', '104']
['281', '234', '806', '548', '513', '257', '84', '266', '563', '345', '21', '773', '772', '501', '799', '106', '211', '451', '217', '837', '812', '109', '132', '315', '758']
['26', '860', '600', '877', '939', '87', '850', '953', '490', '768', '128', '88', '987', '701', '65', '824', '691', '908', '707', '735', '142', '709', '140', '44', '180']
['286', '966', '147', '767', '438', '578', '326', '149', '335', '182', '458', '780', '399', '39', '478', '371', '590', '187', '462', '348', '681', '287', '56', '514', '28']
['596', '666', '473', '275', '306', '952', '144', '124', '591', '728', '576', '624', '264', '98', '627', '198', '922', '122', '163', '595', '973', '960', '269', '566', '795']
['310', '235', '195', '207', '633', '454', '695', '929', '161', '740', '687', '474', '598', '153', '196', '32', '373', '802', '918', '14', '123', '64', '314', '945', '135']
['191', '980', '68', '390', '605', '488', '346', '475', '738', '803', '947', '437', '321', '380', '105', '959', '411', '892', '944', '201', '172', '664', '86', '504', '901']
['562', '689', '524', '212', '876', '700', '516', '538', '200', '881', '441', '878', '129', '943', '77', '567', '744', '141', '120', '896', '177', '409', '416', '469', '12']
['72', '872', '444', '777', '466', '423', '736', '836', '988', '455', '243', '240', '154', '927', '300', '34', '671', '232', '978', '552', '849', '224', '555', '702', '678']
['244', '253', '634', '905', '900', '112', '186', '665', '941', '494', '459', '719', '113', '568', '467', '428', '319', '970', '406', '75', '130', '796', '834', '477', '684']
['755', '15', '791', '114', '231', '468', '402', '855', '93', '355', '199', '778', '993', '807', '917', '786', '647', '841', '875', '384', '127', '175', '889', '995', '686']
['398', '553', '301', '713', '325', '311', '616', '218', '765', '62', '698', '397', '826', '766', '239', '656', '639', '545', '862', '262', '764', '278', '636', '157', '571']
['667', '503', '569', '979', '628', '718', '356', '45', '482', '854', '126', '156', '867', '800', '169', '631', '284', '797', '825', '648', '525', '963', '307', '937', '732']
['55', '376', '71', '737', '447', '283', '506', '249', '727', '51', '271', '787', '330', '557', '856', '533', '517', '115', '711', '270', '779', '846', '770', '49', '921']
['584', '928', '775', '829', '214', '741', '160', '295', '990', '975', '24', '965', '22', '962', '53', '111', '588', '520', '4', '110', '63', '392', '415', '587', '515']
['54', '668', '219', '2', '229', '950', '649', '29', '585', '815', '669', '183', '961', '419', '393', '809', '495', '296', '683', '472', '221', '722', '10', '593', '904']
['316', '830', '215', '394', '989', '37', '422', '933', '158', '351', '785', '813', '23', '661', '931', '853', '589', '550', '372', '487', '848', '222', '873', '150', '276']
['654', '498', '168', '341', '209', '994', '344', '535', '387', '383', '280', '33', '259', '641', '560', '934', '9', '377', '291', '500', '318', '746', '331', '288', '733']
['382', '621', '991', '152', '395', '206', '225', '607', '581', '476', '565', '449', '17', '906', '536', '530', '915', '673', '261', '916', '233', '452', '613', '652', '228']
['250', '748', '378', '47', '909', '723', '883', '861', '256', '247', '19', '913', '982', '971', '926', '840', '171', '759', '763', '703', '864', '508', '166', '708', '814']
['544', '94', '615', '277', '823', '340', '625', '907', '788', '67', '223', '784', '339', '427', '60', '292', '208', '116', '573', '794', '660', '237', '992', '617', '76']
['407', '367', '674', '742', '609', '608', '998', '389', '817', '938', '981', '532', '97', '871', '762', '592', '294', '137', '365', '265', '336', '90', '899', '99', '41']
['263', '747', '717', '102', '463', '644', '304', '761', '358', '820', '847', '89', '353', '460', '985', '313', '205', '724', '789', '391', '502', '757', '858', '396', '561']
