['851', '564', '249', '791']
['701', '521', '310', '613']
['822', '409', '103']
['19', '307', '567']
['104', '768', '17']
['141', '861', '59']
['321', '951', '539']
['833', '941', '462']
['680', '349', '367']
['886', '846', '783']
['167', '661', '484']
['339', '280', '671']
['425', '472', '554']
['865', '631', '689']
['563', '562', '78']
['927', '53', '252']
['976', '126', '937']
['702', '446', '959']
['624', '82', '931']
['374', '856', '173']
['603', '144', '71']
['256', '756', '272']
['866', '675', '668']
['42', '614', '383']
['58', '283', '544']
['582', '77', '531']
['219', '898', '662']
['371', '706', '325']
['762', '570', '950']
['905', '190', '437']
['687', '50', '979']
['0', '619', '616']
['807', '664', '932']
['761', '494', '600']
['699', '411', '508']
['877', '281', '362']
['817', '423', '736']
['595', '712', '503']
['261', '609', '592']
['80', '10', '497']
['128', '646', '352']
['925', '551', '243']
['468', '153', '930']
['333', '214', '345']
['485', '476', '541']
['13', '626', '355']
['46', '449', '967']
['855', '659', '480']
['848', '20', '640']
['844', '873', '742']
['579', '892', '253']
['777', '971', '83']
['160', '919', '343']
['984', '323', '369']
['33', '155', '545']
['495', '968', '209']
['573', '434', '260']
['254', '105', '831']
['326', '49', '311']
['469', '373', '264']
['368', '954', '149']
['212', '226', '523']
['372', '973', '169']
['936', '505', '314']
['479', '232', '164']
['690', '300', '97']
['90', '225', '759']
['386', '127', '843']
['537', '837', '66']
['945', '405', '794']
['615', '500', '899']
['763', '205', '424']
['470', '784', '683']
['75', '719', '412']
['294', '163', '91']
['302', '193', '458']
['313', '901', '9']
['16', '820', '471']
['177', '86', '958']
['992', '301', '610']
['645', '911', '138']
['559', '140', '641']
['67', '222', '685']
['949', '143', '787']
['108', '419', '381']
['467', '797', '324']
['298', '157', '378']
['741', '721', '247']
['178', '711', '676']
['335', '365', '139']
['398', '93', '572']
['835', '876', '420']
['782', '669', '882']
['263', '122', '840']
['448', '154', '510']
['116', '274', '487']
['189', '262', '912']
['547', '131', '133']
['718', '32', '273']
['145', '980', '501']
['48', '239', '275']
['15', '507', '880']
['896', '447', '775']
['496', '376', '117']
['488', '504', '655']
['961', '819', '248']
['747', '826', '672']
['115', '601', '730']
['678', '220', '574']
['700', '704', '749']
['344', '303', '602']
['558', '276', '816']
['793', '717', '720']
['481', '552', '897']
['81', '529', '315']
['697', '858', '168']
['528', '785', '584']
['944', '282', '404']
['363', '989', '860']
['196', '402', '231']
['328', '649', '454']
['845', '972', '839']
['255', '533', '14']
['172', '556', '622']
['513', '415', '3']
['786', '213', '914']
['466', '714', '107']
['241', '926', '790']
['246', '764', '568']
