['42', '322', '181']
['381', '353', '166']
['125', '33', '215']
['191', '272', '370']
['97', '198', '194']
['247', '290', '428']
['437', '217', '238']
['212', '90', '357']
['415', '24', '137']
['484', '44', '499']
['146', '440', '249']
['277', '301', '254']
['412', '61', '3']
['492', '592', '276']
['406', '434', '464']
['563', '117', '281']
['565', '425', '60']
['540', '474', '583']
['586', '278', '203']
['200', '536', '134']
['530', '480', '517']
['111', '4', '489']
['378', '413', '141']
['502', '268', '164']
['171', '331', '139']
['398', '2', '261']
['270', '29', '575']
['594', '438', '207']
['9', '466', '490']
['252', '444', '497']
['228', '161', '148']
['133', '561', '82']
['493', '554', '512']
['318', '509', '154']
['7', '145', '116']
['79', '379', '508']
['257', '20', '308']
['330', '396', '409']
['553', '11', '92']
['416', '188', '163']
['210', '62', '43']
['421', '529', '441']
['17', '429', '206']
['16', '189', '459']
['587', '452', '149']
['380', '534', '219']
['223', '6', '506']
['26', '77', '27']
['168', '471', '414']
['201', '588', '100']
['239', '426', '450']
['49', '445', '317']
['569', '551', '153']
['405', '158', '182']
['142', '72', '525']
['590', '420', '495']
['1', '155', '568']
['245', '334', '243']
['431', '359', '296']
['103', '190', '394']
['0', '271', '432']
['494', '543', '591']
['585', '144', '118']
['59', '597', '384']
['519', '221', '537']
['472', '372', '402']
['488', '93', '535']
['289', '387', '328']
['91', '573', '345']
['581', '242', '404']
['337', '250', '510']
['307', '193', '255']
['152', '80', '260']
['8', '596', '53']
['233', '298', '266']
['458', '314', '312']
['461', '315', '360']
['362', '122', '338']
['76', '180', '300']
['442', '333', '115']
['518', '36', '482']
['498', '470', '121']
['211', '21', '325']
['481', '274', '114']
['465', '319', '40']
['69', '202', '99']
['119', '309', '310']
['399', '599', '279']
['305', '213', '208']
['291', '67', '50']
['487', '374', '343']
['386', '199', '196']
['514', '542', '349']
['538', '32', '346']
['14', '422', '197']
['454', '341', '503']
['46', '251', '468']
['361', '176', '108']
['265', '580', '286']
['547', '515', '557']
['550', '369', '545']
['109', '558', '564']
['22', '113', '355']
['516', '486', '462']
['336', '293', '165']
['127', '339', '237']
['172', '401', '138']
['572', '395', '383']
['88', '205', '75']
['467', '45', '342']
['264', '377', '447']
['84', '427', '51']
['299', '5', '292']
['451', '457', '522']
['382', '120', '567']
['323', '259', '183']
['473', '230', '295']
['284', '28', '58']
['559', '195', '448']
['81', '13', '288']
['169', '520', '126']
['15', '367', '240']
['174', '496', '324']
['65', '147', '236']
['256', '477', '244']
['178', '340', '582']
['175', '303', '373']
['143', '376', '130']
['526', '302', '574']
['523', '248', '443']
['68', '397', '70']
['436', '552', '294']
['479', '106', '358']
['350', '578', '224']
['589', '95', '335']
['110', '388', '123']
['98', '548', '393']
['566', '423', '85']
['556', '25', '418']
['267', '48', '64']
['501', '187', '411']
['455', '232', '280']
['417', '37', '560']
['73', '354', '593']
['285', '539', '410']
['23', '112', '321']
['485', '204', '348']
['34', '366', '527']
['368', '435', '453']
['216', '186', '63']
['407', '19', '140']
['544', '478', '347']
['71', '10', '135']
['86', '234', '283']
['218', '351', '132']
['576', '227', '483']
['364', '262', '391']
['102', '577', '12']
['579', '160', '521']
['275', '273', '316']
['57', '39', '555']
['329', '287', '170']
['424', '151', '162']
['463', '363', '311']
['83', '150', '313']
['78', '269', '475']
['241', '533', '528']
['87', '101', '595']
['246', '66', '104']
['460', '549', '507']
['94', '500', '173']
['89', '31', '419']
['326', '306', '214']
['56', '282', '505']
['107', '185', '177']
['403', '356', '439']
['184', '258', '371']
['562', '390', '504']
['430', '55', '476']
['263', '179', '222']
['52', '513', '96']
['389', '469', '541']
['231', '571', '491']
['156', '226', '531']
['41', '365', '159']
['344', '54', '157']
['225', '352', '128']
['297', '192', '253']
['332', '35', '532']
['131', '375', '304']
['235', '570', '229']
['18', '598', '524']
['392', '449', '167']
['327', '584', '446']
['320', '136', '408']
['47', '124', '209']
['511', '129', '30']
['220', '74', '433']
['105', '400', '385']
['546', '456', '38']
