['619', '965', '875', '343', '597', '276', '664', '100', '288', '348', '181']
['830', '627', '650', '816', '427', '762', '54', '117', '162', '992', '403']
['77', '756', '327', '25', '856', '342', '623', '651', '152', '391', '460']
['588', '314', '456', '685', '769', '70', '109', '115', '867', '187', '534']
['657', '524', '385', '434', '708', '733', '583', '389', '472', '595', '63']
['919', '128', '947', '828', '942', '726', '419', '539', '865', '420', '32']
['98', '810', '936', '338', '551', '692', '153', '774', '543', '69', '911']
['104', '437', '746', '135', '515', '62', '869', '477', '582', '530', '717']
['783', '79', '182', '765', '730', '778', '23', '339', '91', '599', '796']
['237', '52', '205', '589', '887', '256', '933', '252', '604', '53', '388']
['718', '966', '454', '979', '311', '630', '341', '972', '443', '281', '773']
['31', '521', '747', '593', '607', '225', '172', '490', '532', '552', '621']
['103', '136', '2', '493', '606', '264', '41', '577', '882', '243', '313']
['92', '151', '968', '459', '299', '893', '146', '956', '353', '414', '555']
['163', '283', '461', '844', '821', '573', '141', '119', '978', '707', '155']
['447', '426', '16', '439', '591', '889', '693', '436', '294', '507', '399']
['800', '565', '712', '649', '464', '967', '14', '297', '165', '296', '330']
['149', '823', '954', '913', '3', '766', '513', '244', '484', '194', '50']
['169', '512', '463', '312', '952', '826', '755', '202', '946', '799', '68']
['209', '140', '273', '204', '891', '319', '322', '118', '563', '686', '519']
['603', '926', '489', '791', '195', '377', '829', '175', '379', '526']
['656', '903', '710', '839', '499', '567', '51', '24', '486', '457']
['921', '428', '846', '48', '228', '371', '997', '725', '667', '156']
['598', '838', '223', '569', '126', '580', '30', '184', '610', '609']
['180', '797', '406', '600', '681', '980', '450', '698', '470', '318']
['349', '735', '65', '467', '971', '789', '374', '860', '218', '101']
['208', '964', '142', '357', '935', '661', '576', '471', '671', '770']
['39', '950', '413', '261', '662', '178', '525', '304', '504', '620']
['145', '916', '854', '498', '167', '335', '236', '777', '833', '241']
['373', '290', '295', '566', '511', '817', '948', '157', '885', '381']
['56', '578', '874', '320', '280', '787', '174', '749', '395', '424']
['359', '309', '556', '22', '959', '358', '641', '669', '684', '834']
['226', '258', '963', '310', '440', '590', '363', '842', '579', '6']
['658', '546', '336', '937', '131', '412', '93', '741', '538', '806']
['699', '719', '7', '987', '523', '316', '981', '329', '509', '415']
['697', '553', '452', '953', '124', '850', '574', '864', '372', '632']
['405', '246', '481', '561', '462', '170', '401', '700', '516', '624']
['976', '894', '809', '233', '46', '701', '491', '200', '611', '742']
['922', '199', '581', '229', '198', '219', '841', '201', '500', '268']
['364', '934', '614', '883', '514', '28', '808', '71', '10', '541']
['739', '506', '653', '494', '759', '633', '19', '775', '302', '687']
['503', '908', '185', '559', '803', '488', '300', '798', '183', '602']
['4', '189', '116', '265', '432', '5', '473', '635', '214', '133']
['138', '587', '425', '90', '655', '9', '989', '274', '73', '291']
['18', '177', '642', '805', '536', '618', '386', '668', '900', '928']
['958', '558', '13', '361', '392', '227', '132', '150', '44', '811']
['362', '408', '435', '714', '230', '448', '67', '213', '548', '78']
['478', '134', '351', '325', '672', '529', '716', '215', '547', '785']
['695', '771', '836', '768', '378', '564', '272', '904', '245', '323']
['85', '715', '988', '430', '876', '222', '807', '761', '843', '275']
['95', '659', '84', '544', '764', '732', '94', '282', '410', '277']
['562', '107', '328', '990', '127', '108', '367', '605', '298', '231']
['886', '832', '250', '468', '97', '639', '75', '660', '691', '382']
['398', '617', '286', '914', '113', '822', '159', '148', '29', '859']
['724', '196', '731', '892', '42', '748', '601', '422', '673', '404']
['915', '35', '722', '58', '814', '637', '496', '873', '918', '445']
['995', '129', '421', '665', '688', '729', '852', '88', '983', '55']
['87', '171', '191', '285', '909', '910', '355', '679', '815', '977']
['114', '677', '535', '324', '433', '675', '884', '387', '753', '912']
['383', '670', '360', '390', '20', '407', '694', '375', '123', '703']
['702', '898', '645', '176', '586', '721', '767', '238', '862', '820']
['284', '939', '594', '160', '418', '130', '211', '757', '626', '837']
['43', '179', '895', '644', '801', '99', '82', '121', '788', '549']
['720', '851', '540', '255', '643', '596', '259', '466', '344', '242']
['676', '870', '840', '652', '188', '944', '397', '147', '301', '871']
['847', '781', '269', '365', '17', '240', '492', '487', '709', '315']
['974', '631', '57', '164', '727', '337', '416', '970', '654', '497']
['270', '495', '423', '917', '332', '776', '431', '333', '482', '951']
['346', '190', '409', '49', '125', '394', '60', '622', '636', '723']
['682', '262', '248', '690', '120', '111', '794', '613', '417', '469']
['938', '998', '186', '666', '740', '920', '986', '825', '334', '278']
['444', '224', '931', '369', '239', '754', '158', '279', '501', '137']
['455', '517', '217', '40', '292', '508', '110', '356', '663', '896']
['640', '331', '858', '531', '154', '752', '932', '37', '786', '960']
['485', '625', '234', '705', '925', '64', '27', '940', '550', '877']
['962', '232', '542', '81', '354', '197', '901', '446', '429', '955']
['831', '76', '161', '985', '750', '734', '568', '957', '308', '812']
['790', '66', '744', '72', '522', '863', '192', '402', '193', '83']
['480', '897', '33', '257', '929', '557', '592', '441', '999', '819']
['61', '738', '220', '872', '345', '961', '207', '984', '144', '74']
['813', '879', '608', '560', '21', '880', '899', '89', '902', '907']
['47', '982', '347', '449', '584', '11', '570', '554', '102', '878']
['975', '483', '206', '866', '458', '849', '616', '321', '737', '15']
['303', '991', '216', '736', '696', '784', '751', '615', '221', '438']
['8', '518', '317', '370', '235', '105', '827', '12', '824', '505']
['263', '254', '376', '945', '396', '537', '680', '848', '743', '782']
['479', '706', '350', '253', '247', '287', '868', '1', '393', '352']
['855', '293', '453', '59', '572', '210', '143', '683', '795', '772']
['728', '943', '306', '266', '674', '366', '168', '763', '520', '212']
