['539', '734', '560', '588', '169', '787', '403', '416', '1', '621', '6', '683', '574', '81', '373', '467', '64', '13', '531', '428', '310', '9', '526', '390', '188', '52', '162', '781', '329', '151', '630', '573', '124', '370', '586', '61', '174', '744', '427', '91', '616', '263', '617', '626', '426', '7', '658', '779', '48', '793']
['177', '643', '367', '356', '290', '415', '520', '317', '180', '561', '118', '123', '102', '51', '271', '364', '166', '693', '40', '767', '377', '10', '556', '245', '337', '455', '417', '165', '567', '782', '564', '23', '775', '99', '33', '217', '745', '265', '72', '27', '141', '419', '697', '718', '15', '184', '130', '304', '650', '384']
['375', '115', '414', '297', '204', '62', '144', '615', '448', '386', '757', '593', '65', '197', '555', '167', '662', '581', '465', '475', '170', '71', '307', '527', '405', '267', '740', '777', '73', '312', '766', '369', '284', '137', '231', '690', '576', '153', '185', '758', '56', '219', '496', '730', '376', '707', '482', '570', '192', '75']
['398', '423', '759', '270', '729', '631', '549', '510', '352', '418', '249', '239', '283', '493', '724', '38', '212', '746', '568', '14', '606', '796', '709', '760', '411', '252', '458', '176', '678', '260', '480', '652', '644', '161', '308', '622', '649', '218', '637', '608', '45', '292', '752', '135', '361', '363', '321', '97', '607', '344']
['478', '28', '710', '636', '391', '736', '590', '476', '610', '214', '328', '754', '309', '323', '238', '318', '723', '753', '451', '303', '371', '471', '474', '396', '168', '136', '461', '499', '2', '315', '4', '719', '410', '316', '133', '241', '762', '257', '605', '314', '110', '22', '326', '291', '129', '438', '412', '703', '672', '656']
['742', '58', '47', '211', '453', '319', '215', '557', '454', '248', '596', '36', '86', '235', '620', '53', '42', '522', '106', '725', '145', '243', '46', '594', '726', '302', '350', '571', '449', '680', '266', '285', '387', '18', '272', '381', '441', '199', '54', '116', '393', '540', '538', '750', '149', '400', '181', '300', '553', '277']
['198', '434', '665', '425', '424', '172', '472', '353', '101', '551', '653', '147', '439', '569', '468', '394', '433', '507', '503', '645', '175', '535', '582', '279', '402', '388', '89', '246', '544', '661', '628', '696', '708', '784', '155', '276', '354', '313', '383', '774', '98', '686', '667', '254', '401', '747', '67', '524', '599', '76']
['681', '436', '786', '37', '32', '63', '763', '8', '359', '749', '440', '409', '632', '488', '500', '378', '714', '158', '258', '711', '50', '566', '627', '12', '278', '365', '602', '80', '66', '756', '595', '125', '88', '546', '521', '771', '331', '597', '536', '592', '360', '459', '345', '795', '142', '552', '298', '182', '486', '585']
['498', '487', '223', '611', '484', '614', '41', '134', '437', '93', '325', '792', '111', '452', '492', '395', '780', '287', '501', '17', '348', '495', '420', '545', '689', '171', '517', '491', '207', '127', '126', '755', '173', '530', '764', '489', '572', '798', '687', '259', '654', '483', '341', '306', '583', '788', '761', '444', '202', '743']
['322', '305', '24', '275', '121', '685', '494', '195', '618', '460', '69', '601', '327', '543', '132', '404', '49', '671', '324', '26', '236', '505', '220', '481', '179', '791', '227', '0', '528', '429', '783', '684', '659', '435', '657', '797', '244', '502', '575', '94', '128', '635', '31', '463', '3', '117', '604', '720', '648', '201']
['674', '224', '189', '269', '92', '190', '715', '232', '163', '642', '334', '357', '191', '397', '515', '738', '100', '534', '392', '103', '464', '713', '407', '68', '506', '372', '584', '108', '206', '140', '250', '712', '688', '406', '247', '479', '82', '25', '504', '109', '655', '587', '558', '673', '765', '380', '301', '131', '59', '119']
['343', '194', '114', '35', '193', '293', '107', '237', '663', '255', '619', '30', '295', '96', '154', '16', '288', '768', '773', '268', '379', '335', '508', '525', '735', '225', '178', '34', '609', '580', '430', '701', '342', '550', '623', '157', '706', '513', '509', '385', '251', '138', '338', '789', '694', '187', '799', '769', '90', '209']
['294', '362', '242', '421', '200', '226', '532', '431', '289', '699', '547', '732', '113', '727', '143', '39', '216', '374', '339', '702', '234', '57', '183', '785', '700', '625', '208', '640', '233', '664', '751', '462', '139', '676', '44', '112', '159', '222', '253', '695', '95', '722', '669', '778', '105', '332', '281', '651', '733', '450']
['698', '612', '408', '470', '60', '205', '221', '355', '20', '146', '794', '196', '351', '152', '776', '286', '422', '336', '629', '542', '565', '83', '264', '721', '705', '737', '666', '466', '563', '120', '518', '716', '562', '77', '399', '731', '741', '646', '670', '358', '668', '230', '589', '679', '203', '413', '624', '366', '228', '85']
['519', '29', '70', '21', '280', '442', '87', '79', '240', '739', '772', '261', '516', '704', '74', '296', '473', '282', '5', '490', '633', '677', '148', '717', '537', '330', '346', '320', '559', '446', '256', '78', '641', '333', '55', '150', '603', '529', '634', '533', '443', '445', '262', '682', '577', '210', '164', '514', '19', '770']
['229', '432', '692', '639', '613', '691', '748', '349', '43', '598', '485', '456', '340', '790', '600', '160', '548', '477', '122', '554', '273', '274', '186', '389', '447', '511', '497', '675', '579', '311', '541', '84', '347', '647', '638', '156', '469', '512', '660', '299', '213', '104', '457', '578', '11', '728', '368', '523', '591', '382']
