['417', '2', '46', '232', '148']
['60', '14', '437', '452', '436']
['139', '299', '91', '145', '178']
['262', '105', '31', '6', '381']
['41', '286', '69', '127', '305']
['498', '219', '79', '176', '201']
['486', '240', '34', '107', '272']
['463', '469', '443', '366', '108']
['403', '314', '444', '99', '454']
['277', '324', '481', '102', '47']
['389', '252', '35', '26', '30']
['58', '12', '115', '242', '383']
['358', '320', '438', '371', '54']
['24', '61', '322', '280', '466']
['404', '266', '479', '348', '217']
['236', '497', '468', '238', '205']
['225', '392', '361', '477', '402']
['271', '412', '29', '250', '230']
['185', '160', '365', '345', '376']
['172', '490', '74', '126', '372']
['28', '276', '241', '129', '453']
['70', '78', '103', '186', '135']
['341', '182', '49', '296', '82']
['378', '114', '397', '63', '181']
['5', '131', '155', '284', '42']
['95', '429', '484', '433', '467']
['470', '120', '224', '228', '302']
['307', '164', '212', '495', '384']
['159', '267', '482', '97', '44']
['11', '499', '460', '203', '357']
['27', '329', '375', '442', '133']
['204', '136', '123', '213', '279']
['328', '419', '435', '48', '430']
['32', '458', '234', '330', '246']
['426', '374', '410', '431', '326']
['455', '336', '338', '461', '343']
['292', '440', '478', '414', '409']
['96', '231', '141', '400', '293']
['68', '218', '37', '427', '180']
['137', '38', '382', '40', '194']
['398', '189', '388', '140', '303']
['251', '351', '317', '66', '130']
['111', '174', '408', '146', '208']
['386', '216', '211', '368', '67']
['196', '483', '165', '20', '21']
['19', '214', '283', '179', '226']
['289', '16', '210', '313', '471']
['171', '245', '347', '462', '229']
['18', '101', '22', '76', '298']
['464', '257', '319', '333', '318']
['377', '334', '413', '350', '39']
['132', '446', '448', '233', '51']
['125', '363', '278', '451', '15']
['432', '312', '425', '170', '352']
['59', '57', '370', '421', '423']
['237', '98', '121', '310', '157']
['311', '197', '407', '253', '50']
['0', '117', '359', '459', '199']
['142', '424', '143', '434', '36']
['496', '297', '221', '17', '152']
['87', '465', '309', '247', '445']
['473', '92', '86', '258', '119']
['385', '354', '475', '396', '393']
['9', '244', '269', '405', '364']
['491', '84', '168', '261', '456']
['485', '116', '281', '474', '33']
['255', '56', '1', '23', '325']
['337', '71', '270', '167', '300']
['100', '169', '342', '332', '265']
['134', '149', '106', '25', '450']
['472', '227', '304', '90', '308']
['321', '77', '156', '220', '493']
['187', '209', '346', '315', '161']
['75', '53', '198', '420', '43']
['290', '177', '222', '418', '439']
['274', '118', '52', '83', '285']
['110', '291', '193', '264', '441']
['301', '94', '254', '154', '489']
['344', '387', '195', '380', '399']
['355', '268', '339', '128', '166']
['494', '206', '356', '65', '249']
['449', '72', '353', '147', '7']
['275', '406', '109', '331', '151']
['162', '306', '93', '144', '45']
['62', '138', '373', '273', '391']
['480', '260', '85', '124', '188']
['88', '10', '223', '184', '323']
['113', '340', '335', '422', '243']
['316', '415', '369', '282', '183']
['476', '104', '394', '288', '367']
['401', '192', '3', '207', '235']
['202', '447', '173', '200', '295']
['89', '488', '416', '379', '8']
['191', '256', '248', '457', '150']
['80', '492', '122', '395', '263']
['112', '163', '428', '487', '13']
['158', '215', '175', '153', '64']
['55', '362', '190', '4', '294']
['259', '411', '73', '390', '360']
['349', '239', '81', '287', '327']
