['351', '266', '535', '563']
['711', '57', '663', '273']
['704', '19', '193', '505']
['371', '17', '319', '616']
['792', '63', '190', '332']
['288', '774', '382', '635']
['290', '315', '396', '409']
['370', '95', '495', '447']
['120', '554', '32', '104']
['512', '579', '349', '672']
['506', '143', '157', '194']
['566', '334', '502', '187']
['302', '709', '52', '55']
['705', '101', '608', '484']
['253', '659', '152', '790']
['98', '524', '559', '415']
['173', '735', '246', '248']
['691', '794', '107', '546']
['90', '276', '466', '534']
['84', '758', '618', '346']
['463', '625', '373', '732']
['584', '682', '82', '81']
['215', '27', '115', '768']
['402', '558', '203', '109']
['759', '592', '755', '775']
['633', '449', '708', '6']
['239', '498', '175', '327']
['765', '549', '177', '340']
['317', '374', '192', '557']
['322', '571', '244', '521']
['219', '368', '585', '103']
['460', '163', '67', '610']
['416', '389', '411', '37']
['448', '456', '233', '436']
['269', '217', '439', '750']
['432', '795', '237', '213']
['738', '79', '376', '260']
['650', '42', '316', '662']
['367', '778', '200', '624']
['594', '44', '196', '513']
['568', '734', '97', '797']
['15', '403', '86', '383']
['344', '509', '118', '407']
['136', '212', '565', '773']
['788', '397', '318', '356']
['741', '41', '702', '392']
['242', '757', '609', '148']
['638', '501', '777', '112']
['544', '514', '575', '538']
['492', '676', '385', '598']
['156', '158', '254', '766']
['183', '719', '333', '615']
['111', '607', '479', '267']
['720', '5', '352', '61']
['793', '285', '620', '123']
['646', '631', '106', '468']
['658', '573', '350', '779']
['789', '324', '398', '14']
['138', '21', '679', '323']
['697', '320', '364', '296']
['744', '489', '499', '725']
['286', '43', '345', '255']
['400', '154', '29', '365']
['399', '742', '560', '418']
['119', '640', '717', '179']
['330', '503', '250', '519']
['184', '629', '87', '171']
['83', '8', '75', '235']
['114', '390', '178', '678']
['228', '263', '1', '159']
['338', '280', '582', '277']
['670', '581', '47', '526']
['798', '586', '66', '553']
['198', '700', '10', '197']
['548', '722', '454', '31']
['545', '787', '357', '275']
['59', '604', '487', '799']
['60', '7', '589', '306']
['335', '540', '784', '134']
['117', '191', '300', '264']
['781', '38', '272', '360']
['500', '642', '336', '639']
['231', '699', '354', '12']
['337', '427', '133', '341']
['307', '146', '753', '384']
['151', '185', '293', '692']
['24', '576', '574', '298']
['247', '4', '532', '634']
['189', '226', '637', '297']
['737', '369', '23', '379']
['299', '504', '256', '619']
['122', '91', '64', '170']
['422', '279', '593', '76']
['731', '234', '132', '591']
['667', '770', '769', '388']
['144', '748', '600', '408']
['736', '443', '641', '529']
['174', '531', '457', '431']
['483', '180', '791', '394']
['656', '497', '493', '380']
['669', '62', '166', '240']
['430', '783', '168', '99']
['363', '515', '452', '653']
['362', '423', '238', '785']
['733', '225', '674', '726']
['342', '13', '46', '401']
['137', '648', '712', '561']
['377', '764', '405', '683']
['599', '410', '665', '760']
['206', '739', '56', '310']
['262', '530', '675', '511']
['496', '406', '387', '343']
['477', '614', '25', '701']
['446', '419', '105', '207']
['142', '113', '85', '440']
['205', '72', '108', '752']
['660', '482', '245', '126']
['69', '569', '442', '516']
['628', '481', '404', '555']
['303', '161', '453', '366']
['474', '355', '470', '257']
['749', '45', '378', '713']
['455', '611', '703', '223']
['331', '461', '716', '740']
['494', '220', '595', '690']
['632', '695', '685', '796']
['53', '131', '313', '655']
['462', '782', '258', '287']
['74', '393', '630', '128']
['96', '601', '747', '28']
['116', '746', '693', '688']
['150', '321', '153', '9']
['786', '268', '480', '577']
['34', '677', '30', '583']
['562', '195', '271', '572']
['50', '304', '643', '612']
['721', '664', '222', '488']
['135', '149', '550', '188']
['542', '689', '251', '16']
['729', '522', '283', '353']
['252', '281', '570', '602']
['391', '412', '58', '518']
['20', '49', '657', '326']
['429', '539', '471', '645']
['465', '51', '681', '325']
['278', '92', '467', '621']
['541', '433', '751', '348']
['265', '776', '413', '694']
['654', '33', '647', '216']
['605', '472', '284', '533']
['622', '199', '687', '381']
['218', '395', '230', '507']
['445', '155', '274', '127']
['211', '476', '417', '486']
['78', '162', '485', '236']
['730', '22', '517', '552']
['18', '308', '147', '673']
['130', '567', '464', '668']
['420', '428', '270', '435']
['475', '65', '328', '224']
['311', '438', '314', '172']
['636', '329', '426', '587']
['714', '48', '491', '301']
['510', '202', '339', '71']
['294', '386', '169', '282']
['666', '551', '165', '204']
['70', '0', '761', '305']
['686', '229', '424', '289']
['358', '706', '201', '473']
['756', '243', '100', '527']
['141', '763', '421', '626']
['644', '121', '160', '537']
['698', '490', '564', '603']
['536', '710', '372', '578']
['459', '140', '434', '232']
['458', '227', '724', '110']
['54', '125', '606', '543']
['754', '208', '186', '661']
['684', '617', '547', '292']
['259', '182', '2', '718']
['649', '762', '124', '295']
['441', '580', '36', '11']
['214', '102', '93', '680']
['40', '210', '309', '651']
['312', '425', '167', '715']
['556', '671', '597', '361']
['77', '359', '528', '623']
['596', '450', '347', '209']
['375', '176', '145', '723']
['129', '525', '451', '89']
['707', '39', '94', '181']
['588', '414', '696', '469']
['780', '35', '508', '139']
['613', '261', '771', '627']
['437', '728', '68', '221']
['26', '590', '88', '523']
['745', '743', '3', '478']
['444', '652', '164', '249']
['772', '767', '241', '291']
['727', '73', '80', '520']
