['587', '753', '674', '407', '994', '682', '995', '228', '554', '352', '978', '364', '610', '990', '391', '744', '774', '171', '711', '261', '135', '233', '874', '308', '899', '381', '609', '723', '600', '221', '430', '130']
['375', '933', '960', '713', '226', '885', '331', '777', '31', '342', '442', '731', '347', '583', '515', '853', '473', '450', '863', '234', '105', '928', '481', '321', '54', '516', '859', '277', '66', '528', '522', '34']
['335', '121', '269', '283', '238', '118', '30', '453', '382', '536', '779', '879', '585', '810', '204', '161', '987', '945', '212', '815', '263', '780', '778', '785', '941', '694', '830', '16', '661', '781', '881', '254']
['542', '6', '646', '74', '429', '514', '825', '123', '253', '991', '551', '302', '319', '970', '880', '56', '165', '988', '87', '327', '747', '851', '903', '2', '912', '883', '543', '199', '432', '576', '143', '955']
['53', '136', '344', '256', '993', '597', '884', '231', '203', '586', '95', '485', '929', '259', '887', '550', '806', '412', '268', '607', '619', '823', '193', '577', '526', '462', '754', '742', '77', '103', '475', '726']
['862', '549', '517', '460', '805', '513', '846', '564', '686', '274', '888', '926', '760', '378', '582', '748', '182', '666', '489', '388', '869', '258', '217', '996', '599', '968', '359', '518', '454', '468', '365', '474']
['456', '829', '452', '13', '57', '590', '270', '701', '894', '435', '827', '876', '953', '387', '575', '169', '349', '611', '580', '84', '642', '519', '67', '948', '976', '299', '770', '58', '687', '35', '75', '487']
['500', '338', '838', '241', '665', '390', '547', '570', '111', '363', '966', '616', '992', '951', '190', '814', '572', '958', '931', '94', '844', '905', '848', '890', '455', '695', '632', '735', '418', '917', '718', '660']
['565', '678', '776', '592', '849', '640', '530', '904', '346', '276', '845', '645', '896', '444', '683', '246', '85', '129', '176', '878', '562', '593', '286', '235', '397', '820', '763', '393', '413', '304', '858']
['404', '20', '247', '328', '981', '100', '857', '243', '131', '150', '972', '215', '309', '28', '210', '483', '291', '174', '809', '7', '133', '977', '637', '618', '146', '652', '358', '488', '21', '605', '732']
['956', '23', '924', '626', '677', '952', '847', '865', '798', '65', '836', '264', '230', '963', '425', '245', '4', '250', '285', '91', '88', '843', '249', '509', '971', '156', '175', '325', '139', '265', '320']
['102', '184', '822', '746', '354', '835', '663', '266', '886', '895', '408', '405', '559', '739', '158', '568', '490', '635', '149', '698', '49', '37', '255', '148', '55', '166', '438', '314', '229', '712', '697']
['511', '578', '61', '373', '520', '496', '493', '288', '664', '244', '588', '505', '353', '937', '900', '465', '897', '676', '553', '195', '140', '788', '499', '0', '297', '422', '172', '591', '910', '710', '721']
['197', '278', '680', '566', '946', '870', '313', '873', '361', '715', '639', '720', '151', '192', '602', '573', '434', '521', '589', '628', '959', '877', '936', '448', '421', '925', '116', '43', '44', '439', '138']
['124', '311', '538', '961', '260', '343', '33', '415', '689', '630', '298', '445', '872', '119', '170', '411', '614', '240', '3', '128', '656', '152', '997', '638', '523', '402', '401', '287', '855', '927', '280']
['257', '76', '419', '974', '850', '392', '915', '70', '679', '546', '935', '153', '470', '341', '216', '340', '773', '183', '752', '503', '954', '9', '973', '400', '108', '537', '367', '160', '416', '398', '32']
['104', '222', '218', '186', '860', '750', '982', '25', '83', '799', '700', '194', '802', '627', '930', '198', '428', '980', '318', '441', '544', '743', '741', '649', '322', '831', '622', '345', '832', '79', '728']
['574', '157', '540', '478', '191', '693', '558', '579', '792', '127', '420', '502', '60', '643', '506', '644', '650', '507', '772', '724', '722', '662', '706', '667', '137', '431', '617', '296', '828', '967', '595']
['332', '491', '377', '371', '608', '495', '893', '106', '534', '47', '920', '648', '606', '451', '154', '902', '239', '380', '208', '262', '423', '486', '854', '69', '63', '699', '294', '867', '372', '762', '552']
