['777', '239', '610', '772', '889', '840', '993', '669', '884', '501', '895', '618', '688', '337', '992', '876', '538', '41', '691', '721', '953', '112', '69', '782', '370', '744', '765', '969', '308', '371', '964', '441', '85', '321']
['108', '599', '392', '983', '215', '864', '384', '686', '950', '151', '332', '911', '442', '912', '427', '512', '431', '946', '315', '967', '810', '674', '39', '937', '5', '659', '137', '637', '460', '61', '485', '7', '426', '402']
['434', '636', '751', '609', '690', '120', '446', '933', '380', '867', '795', '749', '671', '169', '194', '38', '588', '608', '466', '941', '359', '282', '72', '543', '954', '278', '406', '67', '861', '201', '689', '75', '118', '979']
['642', '131', '592', '832', '557', '187', '655', '31', '928', '865', '952', '790', '362', '626', '180', '210', '89', '585', '499', '856', '654', '98', '298', '650', '567', '575', '490', '770', '712', '96', '823', '542', '172', '989']
['763', '316', '718', '666', '467', '464', '229', '311', '383', '101', '738', '272', '25', '808', '940', '252', '286', '859', '901', '863', '382', '182', '607', '147', '508', '537', '57', '155', '403', '235', '236', '759', '716', '966']
['344', '334', '28', '33', '653', '340', '551', '222', '242', '262', '405', '179', '268', '396', '853', '443', '587', '616', '518', '708', '910', '166', '216', '480', '703', '733', '488', '218', '831', '375', '458', '877', '451', '968']
['541', '281', '649', '191', '84', '956', '271', '287', '254', '985', '739', '339', '417', '994', '476', '64', '107', '822', '500', '353', '572', '743', '633', '687', '720', '798', '814', '695', '935', '157', '63', '495', '448']
['706', '791', '301', '113', '982', '882', '303', '390', '14', '701', '514', '571', '497', '745', '472', '259', '398', '517', '516', '156', '44', '48', '589', '274', '586', '93', '816', '939', '81', '737', '152', '192', '290']
['677', '803', '87', '127', '299', '338', '160', '761', '188', '753', '49', '130', '325', '208', '78', '482', '532', '779', '705', '924', '4', '124', '346', '8', '99', '569', '580', '45', '29', '918', '855', '37', '566']
['926', '577', '530', '134', '326', '869', '361', '158', '667', '736', '408', '638', '914', '515', '453', '404', '143', '826', '595', '285', '395', '923', '550', '802', '871', '450', '740', '789', '341', '750', '223', '786', '629']
['977', '355', '697', '511', '369', '639', '270', '183', '149', '469', '900', '602', '363', '323', '21', '379', '92', '862', '97', '805', '991', '505', '623', '731', '715', '117', '419', '730', '962', '386', '774', '908', '547']
['428', '799', '55', '591', '241', '440', '174', '220', '947', '394', '119', '387', '973', '673', '699', '535', '878', '665', '830', '930', '564', '11', '368', '702', '251', '990', '680', '219', '965', '351', '468', '887', '227']
['793', '562', '980', '164', '109', '91', '88', '413', '988', '741', '226', '347', '713', '792', '1', '812', '811', '479', '921', '732', '483', '438', '936', '125', '313', '126', '475', '590', '58', '692', '848', '280', '614']
['796', '421', '245', '165', '265', '958', '758', '524', '159', '418', '153', '519', '780', '444', '582', '462', '529', '330', '257', '291', '756', '231', '533', '615', '660', '230', '945', '73', '881', '486', '349', '54', '685']
['788', '455', '225', '115', '296', '606', '136', '211', '435', '2', '850', '35', '207', '652', '381', '891', '632', '927', '146', '835', '312', '870', '170', '913', '407', '10', '389', '576', '574', '625', '531', '603', '834']
['578', '142', '714', '917', '202', '748', '634', '491', '354', '71', '145', '171', '981', '46', '304', '204', '430', '781', '360', '309', '433', '176', '232', '866', '598', '32', '525', '429', '846', '663', '879', '449', '627']
['357', '842', '896', '161', '986', '734', '447', '943', '47', '198', '217', '327', '894', '203', '333', '70', '289', '209', '645', '620', '664', '553', '520', '199', '269', '818', '414', '17', '683', '560', '916', '752', '754']
