['564', '611', '691', '674', '86', '349', '376', '625', '670', '431', '634', '498', '135', '45', '466', '195', '617', '567', '483', '151', '67', '582', '340', '486']
['139', '302', '169', '181', '327', '536', '267', '522', '305', '1', '671', '82', '549', '510', '497', '178', '417', '322', '292', '233', '25', '3', '313', '471']
['133', '50', '514', '478', '618', '136', '558', '193', '666', '199', '352', '480', '489', '423', '257', '407', '458', '138', '201', '164', '162', '289', '83', '179']
['265', '209', '445', '586', '36', '205', '72', '294', '278', '667', '451', '70', '280', '651', '484', '468', '250', '320', '41', '30', '433', '391', '130', '464']
['261', '530', '430', '664', '375', '300', '237', '591', '253', '654', '252', '369', '329', '545', '358', '210', '557', '509', '643', '270', '194', '324', '385', '184']
['482', '137', '405', '513', '373', '516', '62', '616', '134', '32', '408', '220', '359', '128', '9', '418', '344', '59', '106', '543', '460', '351', '687', '246']
['570', '462', '216', '372', '51', '161', '142', '27', '444', '266', '299', '461', '126', '526', '346', '226', '58', '542', '28', '119', '404', '680', '129', '334']
['274', '350', '78', '675', '263', '432', '336', '153', '539', '441', '291', '43', '69', '56', '474', '282', '231', '180', '665', '108', '503', '264', '540', '230']
['512', '18', '118', '144', '537', '287', '218', '172', '4', '368', '587', '191', '156', '339', '140', '269', '581', '109', '113', '366', '73', '347', '239', '211']
['488', '388', '147', '215', '448', '381', '659', '578', '100', '200', '64', '171', '74', '437', '629', '673', '166', '639', '256', '345', '677', '207', '524', '492']
['228', '686', '494', '214', '579', '111', '297', '442', '251', '187', '365', '338', '312', '63', '533', '392', '203', '374', '124', '615', '311', '296', '576']
['285', '175', '240', '192', '574', '103', '684', '569', '29', '283', '360', '208', '608', '323', '66', '141', '652', '348', '397', '592', '88', '273', '60']
['173', '150', '81', '202', '97', '559', '628', '7', '104', '411', '2', '146', '589', '288', '599', '110', '676', '642', '20', '217', '84', '279', '452']
['343', '168', '410', '555', '14', '49', '247', '453', '663', '333', '519', '363', '47', '435', '429', '446', '243', '449', '419', '490', '197', '183', '182']
['515', '315', '227', '597', '377', '607', '46', '440', '529', '637', '662', '389', '310', '122', '541', '306', '476', '588', '583', '332', '248', '35', '416']
['500', '610', '276', '575', '19', '98', '125', '355', '593', '696', '284', '562', '508', '196', '475', '455', '254', '619', '614', '190', '554', '11', '384']
['152', '232', '584', '383', '387', '463', '699', '393', '326', '646', '165', '304', '638', '357', '149', '661', '692', '396', '640', '427', '650', '54', '415']
['17', '22', '249', '669', '531', '37', '158', '255', '8', '632', '206', '454', '16', '436', '167', '79', '544', '690', '697', '123', '698', '281', '493']
['496', '92', '620', '114', '68', '645', '371', '506', '275', '148', '319', '21', '556', '379', '425', '176', '398', '316', '204', '53', '689', '499', '403']
['271', '80', '424', '105', '459', '635', '600', '532', '450', '517', '472', '573', '590', '223', '609', '470', '188', '225', '23', '695', '286', '89', '535']
['290', '277', '501', '40', '491', '96', '605', '598', '563', '585', '174', '382', '479', '520', '394', '61', '85', '303', '521', '428', '504', '400', '301']
['473', '259', '26', '439', '330', '219', '245', '685', '370', '268', '560', '422', '467', '612', '33', '528', '548', '596', '546', '552', '457', '309', '307']
['390', '595', '565', '295', '647', '630', '328', '623', '55', '399', '116', '212', '656', '39', '99', '487', '414', '93', '443', '238', '406', '143', '678']
['495', '660', '120', '213', '465', '75', '132', '90', '561', '367', '341', '420', '571', '94', '131', '31', '577', '155', '624', '434', '621', '550', '395']
['335', '308', '293', '177', '502', '477', '507', '688', '48', '447', '648', '57', '523', '112', '342', '682', '655', '145', '101', '386', '657', '438', '602']
['672', '115', '622', '244', '649', '117', '34', '65', '353', '160', '236', '633', '568', '5', '71', '683', '364', '170', '354', '318', '95', '102', '189']
['426', '525', '42', '224', '658', '641', '421', '518', '631', '401', '527', '378', '314', '481', '234', '668', '222', '681', '362', '272', '186', '601', '38']
['91', '606', '485', '262', '409', '321', '380', '154', '24', '644', '331', '235', '198', '337', '603', '52', '13', '505', '159', '402', '580', '553', '356']
['613', '627', '679', '636', '694', '6', '258', '594', '77', '76', '163', '121', '626', '653', '298', '10', '12', '361', '260', '566', '0', '469', '538']
['221', '44', '412', '242', '693', '413', '87', '185', '572', '229', '534', '127', '551', '107', '511', '547', '456', '15', '325', '604', '241', '317', '157']
