['1', '161', '321']
['2', '162', '322']
['3', '163', '323']
['4', '164', '324']
['5', '165', '325']
['6', '166', '326']
['7', '167', '327']
['8', '168', '328']
['9', '169', '329']
['10', '170', '330']
['11', '171', '331']
['12', '172', '332']
['13', '173', '333']
['14', '174', '334']
['15', '175', '335']
['16', '176', '336']
['17', '177', '337']
['18', '178', '338']
['19', '179', '339']
['20', '180', '340']
['21', '181', '341']
['22', '182', '342']
['23', '183', '343']
['24', '184', '344']
['25', '185', '345']
['26', '186', '346']
['27', '187', '347']
['28', '188', '348']
['29', '189', '349']
['30', '190', '350']
['31', '191', '351']
['32', '192', '352']
['33', '193', '353']
['34', '194', '354']
['35', '195', '355']
['36', '196', '356']
['37', '197', '357']
['38', '198', '358']
['39', '199', '359']
['40', '200', '360']
['41', '201', '361']
['42', '202', '362']
['43', '203', '363']
['44', '204', '364']
['45', '205', '365']
['46', '206', '366']
['47', '207', '367']
['48', '208', '368']
['49', '209', '369']
['50', '210', '370']
['51', '211', '371']
['52', '212', '372']
['53', '213', '373']
['54', '214', '374']
['55', '215', '375']
['56', '216', '376']
['57', '217', '377']
['58', '218', '378']
['59', '219', '379']
['60', '220', '380']
['61', '221', '381']
['62', '222', '382']
['63', '223', '383']
['64', '224', '384']
['65', '225', '385']
['66', '226', '386']
['67', '227', '387']
['68', '228', '388']
['69', '229', '389']
['70', '230', '390']
['71', '231', '391']
['72', '232', '392']
['73', '233', '393']
['74', '234', '394']
['75', '235', '395']
['76', '236', '396']
['77', '237', '397']
['78', '238', '398']
['79', '239', '399']
['80', '240', '400']
['81', '241', '401']
['82', '242', '402']
['83', '243', '403']
['84', '244', '404']
['85', '245', '405']
['86', '246', '406']
['87', '247', '407']
['88', '248', '408']
['89', '249', '409']
['90', '250', '410']
['91', '251', '411']
['92', '252', '412']
['93', '253', '413']
['94', '254', '414']
['95', '255', '415']
['96', '256', '416']
['97', '257', '417']
['98', '258', '418']
['99', '259', '419']
['100', '260', '420']
['101', '261', '421']
['102', '262', '422']
['103', '263', '423']
['104', '264', '424']
['105', '265', '425']
['106', '266', '426']
['107', '267', '427']
['108', '268', '428']
['109', '269', '429']
['110', '270', '430']
['111', '271', '431']
['112', '272', '432']
['113', '273', '433']
['114', '274', '434']
['115', '275', '435']
['116', '276', '436']
['117', '277', '437']
['118', '278', '438']
['119', '279', '439']
['120', '280', '440']
['121', '281', '441']
['122', '282', '442']
['123', '283', '443']
['124', '284', '444']
['125', '285', '445']
['126', '286', '446']
['127', '287', '447']
['128', '288', '448']
['129', '289', '449']
['130', '290', '450']
['131', '291', '451']
['132', '292', '452']
['133', '293', '453']
['134', '294', '454']
['135', '295', '455']
['136', '296', '456']
['137', '297', '457']
['138', '298', '458']
['139', '299', '459']
['140', '300', '460']
['141', '301', '461']
['142', '302', '462']
['143', '303', '463']
['144', '304', '464']
['145', '305', '465']
['146', '306', '466']
['147', '307', '467']
['148', '308', '468']
['149', '309', '469']
['150', '310', '470']
['151', '311', '471']
['152', '312', '472']
['153', '313', '473']
['154', '314', '474']
['155', '315', '475']
['156', '316', '476']
['157', '317', '477']
['158', '318', '478']
['159', '319', '479']
['160', '320', '480']
