['0', '20', '40', '60', '80', '99', '121', '140', '160', '180', '200', '220', '240', '260', '280', '300', '321', '340', '360', '381', '400', '419', '441', '460', '480']
['2', '21', '42', '61', '81', '101', '120', '141', '161', '181', '202', '221', '241', '261', '282', '301', '320', '341', '361', '380', '401', '421', '440', '462', '481']
['1', '22', '41', '62', '82', '102', '122', '143', '162', '182', '201', '222', '242', '262', '281', '302', '322', '343', '362', '382', '402', '422', '442', '461', '483']
['3', '23', '43', '64', '83', '103', '123', '142', '163', '183', '203', '223', '243', '263', '283', '303', '323', '342', '363', '383', '403', '423', '443', '463', '482']
['4', '25', '44', '63', '84', '104', '124', '144', '164', '184', '204', '225', '244', '264', '284', '305', '324', '344', '365', '384', '405', '424', '444', '464', '484']
['5', '24', '45', '65', '85', '105', '125', '145', '166', '185', '205', '224', '246', '265', '285', '304', '325', '345', '364', '385', '404', '425', '445', '465', '485']
['6', '26', '46', '66', '87', '107', '126', '146', '165', '186', '206', '226', '245', '267', '286', '306', '326', '346', '366', '386', '406', '427', '446', '466', '486']
['7', '27', '47', '67', '86', '106', '127', '147', '167', '188', '207', '227', '247', '266', '287', '307', '328', '347', '367', '387', '407', '426', '448', '467', '487']
['8', '28', '49', '68', '88', '108', '129', '148', '168', '187', '208', '228', '248', '268', '289', '308', '327', '348', '368', '388', '408', '428', '447', '469', '488']
['10', '29', '48', '69', '89', '109', '128', '149', '169', '189', '209', '229', '249', '269', '288', '309', '329', '349', '369', '390', '409', '429', '449', '468', '490']
['9', '30', '50', '70', '90', '110', '130', '151', '170', '190', '211', '230', '250', '270', '290', '310', '330', '351', '370', '389', '410', '430', '450', '470', '489']
['11', '31', '51', '72', '91', '111', '131', '150', '172', '191', '210', '231', '251', '271', '291', '312', '331', '350', '371', '391', '411', '431', '451', '471', '491']
['12', '32', '52', '71', '92', '112', '132', '152', '171', '192', '212', '233', '253', '272', '292', '311', '332', '352', '373', '392', '413', '432', '452', '472', '492']
['13', '34', '53', '73', '94', '113', '133', '153', '173', '193', '213', '232', '252', '274', '293', '313', '333', '353', '372', '393', '412', '434', '453', '473', '493']
['14', '33', '54', '74', '93', '115', '134', '154', '174', '195', '214', '234', '254', '273', '294', '314', '334', '354', '374', '394', '414', '433', '455', '475', '494']
['15', '35', '55', '75', '95', '114', '136', '155', '175', '194', '215', '235', '255', '275', '295', '315', '336', '355', '375', '395', '415', '435', '454', '474', '495']
['16', '36', '57', '76', '96', '116', '135', '156', '176', '196', '216', '236', '256', '276', '297', '316', '335', '356', '376', '397', '416', '436', '456', '476', '496']
['18', '37', '56', '77', '97', '117', '137', '157', '177', '197', '218', '237', '257', '277', '296', '317', '337', '358', '377', '396', '417', '437', '457', '477', '498']
['17', '38', '58', '79', '98', '118', '138', '159', '179', '198', '217', '239', '259', '278', '298', '318', '338', '357', '378', '398', '418', '438', '458', '478', '497']
['19', '39', '59', '78', '100', '119', '139', '158', '178', '199', '219', '238', '258', '279', '299', '319', '339', '359', '379', '399', '420', '439', '459', '479', '499']
