['66', '398', '220', '343', '314', '150']
['114', '9', '30', '391', '477', '154']
['224', '16', '395', '473', '106', '296']
['344', '95', '424', '7', '131', '360']
['365', '347', '441', '183', '140', '435']
['416', '409', '13', '226', '303']
['443', '454', '19', '97', '478']
['27', '18', '119', '177', '480']
['93', '186', '139', '75', '8']
['230', '269', '143', '227', '61']
['234', '302', '199', '310', '124']
['376', '355', '225', '331', '203']
['4', '1', '231', '386', '244']
['23', '80', '252', '406', '308']
['74', '161', '469', '147', '315']
['91', '170', '113', '169', '70']
['104', '53', '123', '194', '158']
['472', '64', '180', '219', '444']
['28', '167', '212', '251', '90']
['45', '253', '257', '304', '102']
['105', '394', '417', '307', '148']
['151', '485', '127', '46', '202']
['235', '35', '163', '171', '247']
['317', '137', '411', '6', '229']
['322', '239', '155', '34', '241']
['350', '462', '156', '39', '381']
['353', '2', '452', '262', '396']
['400', '197', '470', '267', '399']
['482', '210', '65', '414', '401']
['112', '264', '432', '479', '292']
['174', '283', '67', '22', '428']
['259', '342', '295', '275', '69']
['369', '413', '382', '312', '94']
['48', '415', '390', '373', '128']
['144', '82', '488', '389', '238']
['213', '117', '130', '429', '446']
['388', '135', '175', '40', '497']
['456', '299', '217', '54', '185']
['85', '338', '361', '162', '265']
['289', '474', '422', '412', '286']
['345', '495', '84', '423', '110']
['437', '49', '145', '36', '184']
['87', '476', '237', '191', '207']
['122', '498', '284', '311', '326']
['335', '29', '449', '419', '349']
['339', '152', '187', '455', '420']
['418', '195', '218', '460', '109']
['439', '198', '273', '466', '176']
['494', '268', '320', '490', '182']
['149', '393', '425', '351', '297']
['387', '447', '25', '384', '357']
['433', '96', '214', '496', '14']
['72', '129', '236', '26', '83']
['126', '188', '301', '89', '431']
['178', '215', '325', '293', '37']
['211', '271', '471', '346', '79']
['276', '327', '20', '383', '243']
['280', '491', '73', '32', '250']
['377', '223', '99', '63', '426']
['467', '232', '164', '98', '465']
['279', '103', '300', '192', '15']
['427', '278', '337', '367', '17']
['44', '282', '405', '120', '62']
['77', '348', '499', '181', '133']
['86', '359', '157', '206', '160']
['483', '403', '291', '281', '287']
['489', '445', '358', '370', '321']
['43', '52', '50', '375', '385']
['392', '78', '58', '410', '438']
['5', '100', '118', '486', '487']
['56', '200', '436', '256', '0']
['254', '468', '459', '68', '138']
['255', '38', '116', '173', '146']
['288', '41', '134', '179', '196']
['372', '88', '261', '233', '228']
['440', '101', '313', '309', '263']
['450', '319', '363', '318', '371']
['221', '378', '464', '362', '463']
['323', '404', '21', '458', '42']
['333', '55', '60', '141', '208']
['57', '132', '125', '248', '242']
['71', '159', '168', '270', '475']
['92', '189', '205', '12', '493']
['142', '258', '246', '33', '245']
['153', '328', '340', '111', '352']
['201', '341', '434', '290', '430']
['324', '397', '11', '366', '24']
['332', '3', '115', '492', '166']
['334', '47', '330', '266', '190']
['368', '76', '457', '298', '240']
['193', '81', '356', '380', '222']
['306', '121', '402', '442', '260']
['379', '277', '451', '59', '316']
['421', '136', '484', '165', '329']
['172', '374', '407', '249', '448']
['209', '453', '408', '336', '481']
['216', '51', '272', '10', '364']
['305', '107', '274', '31', '461']
['354', '204', '294', '285', '108']
