['92', '285', '239', '191', '380', '282', '376', '268', '254', '135', '15', '21', '184', '227', '216', '397', '130', '89', '344']
['206', '280', '88', '226', '14', '151', '384', '182', '211', '50', '173', '349', '379', '19', '64', '377', '333', '371', '217']
['290', '82', '166', '160', '303', '81', '122', '86', '236', '253', '365', '373', '46', '293', '55', '168', '104', '244', '196']
['341', '224', '347', '276', '84', '218', '257', '340', '79', '47', '169', '181', '308', '32', '329', '51', '10', '322', '165']
['369', '95', '385', '94', '208', '91', '343', '93', '248', '393', '392', '140', '132', '101', '134', '107', '238', '54']
['299', '310', '272', '221', '153', '45', '264', '179', '321', '242', '324', '291', '161', '100', '80', '154', '259', '24']
['366', '131', '198', '176', '255', '314', '301', '247', '302', '49', '69', '174', '232', '144', '136', '11', '330', '40']
['1', '391', '117', '72', '252', '188', '383', '7', '143', '70', '305', '287', '114', '102', '77', '36', '351', '354']
['126', '359', '96', '108', '246', '327', '65', '56', '190', '76', '115', '201', '251', '26', '29', '231', '37', '278']
['185', '241', '183', '71', '220', '342', '353', '39', '300', '323', '296', '35', '44', '263', '306', '281', '3', '283']
['230', '6', '266', '171', '105', '141', '164', '274', '400', '360', '103', '237', '38', '12', '284', '229', '273', '177']
['9', '147', '260', '271', '172', '8', '200', '372', '17', '394', '295', '87', '73', '332', '307', '275', '158', '192']
['197', '250', '265', '178', '304', '387', '240', '261', '288', '118', '148', '262', '325', '98', '52', '357', '346', '152']
['317', '350', '358', '59', '57', '298', '319', '202', '313', '234', '396', '163', '129', '335', '362', '331', '16', '363']
['99', '116', '388', '368', '279', '312', '146', '399', '110', '53', '337', '23', '58', '256', '382', '111', '292', '33']
['225', '386', '294', '155', '68', '90', '42', '180', '61', '145', '186', '398', '381', '34', '128', '167', '286', '228']
['189', '214', '212', '209', '390', '203', '195', '213', '320', '66', '137', '27', '28', '316', '361', '336', '233', '112']
['207', '159', '63', '389', '245', '113', '22', '270', '339', '364', '125', '13', '367', '378', '356', '123', '235', '223']
['269', '162', '326', '345', '121', '139', '205', '142', '138', '25', '120', '62', '328', '193', '149', '348', '119', '311']
['97', '258', '106', '31', '78', '297', '18', '370', '318', '43', '109', '41', '133', '75', '83', '395', '157', '267']
['309', '124', '215', '222', '277', '5', '30', '67', '2', '219', '355', '194', '170', '187', '74', '60', '375', '199']
['352', '210', '289', '334', '204', '150', '175', '127', '249', '315', '156', '243', '374', '4', '48', '85', '338', '20']
