['1', '84', '166', '249']
['2', '9916', '9834', '9751']
['9999', '85', '167']
['9998', '9915', '9833']
['3', '9750', '168']
['9997', '250', '9832']
['4', '86', '169']
['9996', '9914', '9831']
['5', '87', '170']
['9995', '9913', '9830']
['6', '88', '171']
['9994', '9912', '9829']
['7', '89', '172']
['9993', '9911', '9828']
['8', '90', '173']
['9992', '9910', '9827']
['9', '91', '174']
['9991', '9909', '9826']
['10', '92', '175']
['9990', '9908', '9825']
['11', '93', '176']
['9989', '9907', '9824']
['12', '94', '177']
['9988', '9906', '9823']
['13', '95', '178']
['9987', '9905', '9822']
['14', '96', '179']
['9986', '9904', '9821']
['15', '97', '180']
['9985', '9903', '9820']
['16', '98', '181']
['9984', '9902', '9819']
['17', '99', '182']
['9983', '9901', '9818']
['18', '100', '183']
['9982', '9900', '9817']
['19', '101', '184']
['9981', '9899', '9816']
['20', '102', '185']
['9980', '9898', '9815']
['21', '103', '186']
['9979', '9897', '9814']
['22', '104', '187']
['9978', '9896', '9813']
['23', '105', '188']
['9977', '9895', '9812']
['24', '106', '189']
['9976', '9894', '9811']
['25', '107', '190']
['9975', '9893', '9810']
['26', '108', '191']
['9974', '9892', '9809']
['27', '109', '192']
['9973', '9891', '9808']
['28', '110', '193']
['9972', '9890', '9807']
['29', '111', '194']
['9971', '9889', '9806']
['30', '112', '195']
['9970', '9888', '9805']
['31', '113', '196']
['9969', '9887', '9804']
['32', '114', '197']
['9968', '9886', '9803']
['33', '115', '198']
['9967', '9885', '9802']
['34', '116', '199']
['9966', '9884', '9801']
['35', '117', '200']
['9965', '9883', '9800']
['36', '118', '201']
['9964', '9882', '9799']
['37', '119', '202']
['9963', '9881', '9798']
['38', '120', '203']
['9962', '9880', '9797']
['39', '121', '204']
['9961', '9879', '9796']
['40', '122', '205']
['9960', '9878', '9795']
['41', '123', '206']
['9959', '9877', '9794']
['42', '124', '207']
['9958', '9876', '9793']
['43', '125', '208']
['9957', '9875', '9792']
['44', '126', '209']
['9956', '9874', '9791']
['45', '127', '210']
['9955', '9873', '9790']
['46', '128', '211']
['9954', '9872', '9789']
['47', '129', '212']
['9953', '9871', '9788']
['48', '130', '213']
['9952', '9870', '9787']
['49', '131', '214']
['9951', '9869', '9786']
['50', '132', '215']
['9950', '9868', '9785']
['51', '133', '216']
['9949', '9867', '9784']
['52', '134', '217']
['9948', '9866', '9783']
['53', '135', '218']
['9947', '9865', '9782']
['54', '136', '219']
['9946', '9864', '9781']
['55', '137', '220']
['9945', '9863', '9780']
['56', '138', '221']
['9944', '9862', '9779']
['57', '139', '222']
['9943', '9861', '9778']
['58', '140', '223']
['9942', '9860', '9777']
['59', '141', '224']
['9941', '9859', '9776']
['60', '142', '225']
['9940', '9858', '9775']
['61', '143', '226']
['9939', '9857', '9774']
['62', '144', '227']
['9938', '9856', '9773']
['63', '145', '228']
['9937', '9855', '9772']
['64', '146', '229']
['9936', '9854', '9771']
['65', '147', '230']
['9935', '9853', '9770']
['66', '148', '231']
['9934', '9852', '9769']
['67', '149', '232']
['9933', '9851', '9768']
['68', '150', '233']
['9932', '9850', '9767']
['69', '151', '234']
['9931', '9849', '9766']
['70', '152', '235']
['9930', '9848', '9765']
['71', '153', '236']
['9929', '9847', '9764']
['72', '154', '237']
['9928', '9846', '9763']
['73', '155', '238']
['9927', '9845', '9762']
['74', '156', '239']
['9926', '9844', '9761']
['75', '157', '240']
['9925', '9843', '9760']
['76', '158', '241']
['9924', '9842', '9759']
['77', '159', '242']
['9923', '9841', '9758']
['78', '160', '243']
['9922', '9840', '9757']
['79', '161', '244']
['9921', '9839', '9756']
['80', '162', '245']
['9920', '9838', '9755']
['81', '163', '246']
['9919', '9837', '9754']
['82', '164', '247']
['9918', '9836', '9753']
['83', '165', '248']
['9917', '9835', '9752']
