['391', '262', '331', '259', '119', '117', '161', '63', '246', '23', '143', '254', '275', '145', '381', '19', '373', '385', '239', '188']
['325', '171', '281', '191', '76', '261', '355', '277', '12', '189', '186', '293', '31', '212', '187', '292', '127', '337', '376', '175']
['144', '348', '177', '35', '306', '343', '84', '33', '93', '28', '11', '181', '242', '255', '220', '294', '227', '79', '204', '50']
['388', '152', '383', '107', '250', '323', '14', '226', '235', '218', '353', '215', '267', '174', '368', '394', '301', '253', '164', '344']
['36', '77', '260', '389', '148', '243', '111', '78', '169', '85', '312', '321', '157', '140', '290', '238', '104', '229', '363', '266']
['364', '16', '75', '222', '184', '199', '396', '24', '112', '195', '81', '168', '39', '284', '159', '286', '87', '101', '59', '201']
['10', '367', '166', '252', '91', '172', '230', '351', '89', '110', '179', '52', '53', '180', '165', '386', '316', '320', '153', '326']
['393', '150', '272', '8', '234', '237', '395', '183', '20', '244', '170', '115', '314', '369', '354', '264', '211', '334', '136', '345']
['298', '336', '130', '100', '228', '335', '219', '197', '49', '203', '324', '274', '200', '302', '58', '173', '309', '258', '288', '208']
['108', '297', '29', '60', '67', '192', '128', '311', '68', '221', '249', '205', '366', '121', '80', '92', '398', '233', '103', '56']
['30', '82', '43', '370', '42', '247', '289', '74', '350', '69', '361', '51', '291', '118', '6', '224', '358', '18', '379', '207']
['270', '240', '113', '196', '278', '142', '210', '384', '105', '299', '349', '134', '248', '124', '178', '0', '342', '47', '151', '282']
['158', '198', '94', '380', '315', '193', '182', '318', '256', '362', '139', '333', '86', '146', '1', '217', '279', '352', '245', '330']
['300', '332', '27', '109', '285', '313', '214', '377', '310', '17', '280', '399', '296', '283', '156', '194', '97', '322', '102', '141']
['98', '133', '138', '13', '378', '135', '317', '32', '185', '62', '327', '287', '21', '328', '304', '66', '365', '176', '273', '265']
['263', '137', '83', '338', '232', '129', '45', '206', '319', '163', '216', '40', '3', '308', '34', '160', '71', '46', '122', '303']
['305', '374', '341', '126', '131', '257', '382', '155', '55', '48', '116', '65', '392', '15', '371', '90', '5', '251', '125', '22']
['231', '9', '375', '241', '295', '190', '7', '37', '70', '95', '149', '357', '307', '4', '114', '236', '372', '359', '390', '54']
['339', '346', '123', '213', '88', '73', '167', '269', '147', '154', '38', '209', '347', '202', '96', '57', '41', '44', '397', '268']
['225', '223', '276', '360', '387', '26', '2', '329', '72', '271', '106', '132', '25', '64', '61', '99', '356', '340', '120', '162']
