['GB', 'Y', 'OS', 'RL', 'OO']
['GI', 'EL', 'NT', 'IE', 'LJ']
['CD', 'O', 'ER', 'JE', 'PV']
['PY', 'G', 'CP', 'CX', 'RN']
['OC', 'HY', 'LY', 'PN', 'HL']
['LW', 'HC', 'NI', 'QR', 'NA']
['NV', 'KH', 'LA', 'EN', 'HZ']
['LV', 'KI', 'IB', 'SH', 'PR']
['GR', 'LQ', 'PF', 'RQ', 'ED']
['JK', 'LS', 'RF', 'FE', 'FR']
['CI', 'QS', 'DI', 'KQ', 'DW']
['DS', 'DG', 'BY', 'LZ', 'LP']
['EF', 'QA', 'QW', 'RC', 'RI']
['RH', 'TB', 'OJ', 'DF', 'FB']
['MQ', 'QV', 'KO', 'BC', 'IC']
['KX', 'ND', 'NJ', 'NL', 'GF']
['IY', 'LT', 'GS', 'FL', 'SR']
['JA', 'SM', 'DC', 'QF', 'JQ']
['OR', 'NU', 'JS', 'CR', 'QI']
['ON', 'MD', 'SG', 'RE', 'DZ']
['CA', 'QG', 'FF', 'F', 'SS']
['OB', 'BH', 'LH', 'EH', 'GE']
['GH', 'MX', 'ME', 'T', 'Q']
['HJ', 'JD', 'BK', 'HI', 'RO']
['HB', 'QX', 'EO', 'GP', 'S']
['BM', 'DD', 'BN', 'LX', 'QN']
['JF', 'II', 'ID', 'NK', 'J']
['CQ', 'HW', 'PI', 'FM', 'CO']
['MO', 'FS', 'C', 'RA', 'IS']
['BL', 'OP', 'NH', 'FC', 'KF']
['BJ', 'FJ', 'NP', 'IP', 'FV']
['JB', 'OQ', 'NR', 'LC', 'JZ']
['SP', 'EG', 'PQ', 'IR', 'IW']
['X', 'U', 'CF', 'GL', 'HR']
['PK', 'NX', 'CH', 'QH', 'HO']
['MB', 'RM', 'PD', 'FH', 'EA']
['NY', 'GW', 'N', 'PW', 'CB']
['MA', 'FU', 'PM', 'QY', 'E']
['MI', 'CL', 'ET', 'KL', 'IZ']
['KR', 'HH', 'QK', 'HP', 'QO']
['EW', 'IQ', 'MV', 'MF', 'QZ']
['EJ', 'LD', 'BW', 'JJ', 'SI']
['MU', 'NZ', 'BG', 'NS', 'OZ']
['IO', 'GX', 'MW', 'KB', 'EE']
['MY', 'RG', 'DT', 'GQ', 'SX']
['PT', 'NO', 'KW', 'SK', 'MP']
['GV', 'SW', 'QJ', 'CN', 'LF']
['QT', 'EP', 'FT', 'ML', 'KN']
['NG', 'HE', 'JT', 'KK', 'RS']
['CC', 'PG', 'HQ', 'EB', 'QD']
['PJ', 'SZ', 'CW', 'CY', 'IV']
['SU', 'OD', 'IU', 'HA', 'PA']
['BA', 'GG', 'RZ', 'RT', 'LB']
['JU', 'PS', 'H', 'BX', 'JV']
['BB', 'SV', 'LR', 'DJ', 'OW']
['EV', 'GD', 'GM', 'GY', 'QP']
['PL', 'FK', 'CZ', 'FP', 'SA']
['OV', 'OE', 'OL', 'EC', 'BP']
['SJ', 'JN', 'IT', 'BT', 'QL']
['TA', 'CV', 'PH', 'DQ', 'IM']
['LI', 'PU', 'IG', 'RR', 'FN']
['LU', 'CT', 'FW', 'DR', 'GK']
['JG', 'Z', 'CM', 'GT', 'QE']
['KE', 'HG', 'PP', 'NM', 'OM']
['CJ', 'IK', 'OI', 'GN', 'MR']
['OG', 'QQ', 'IL', 'HS', 'HD']
['DK', 'SO', 'B', 'QB', 'CG']
['KZ', 'KT', 'JC', 'KU', 'W']
['GJ', 'BS', 'HM', 'FD', 'TE']
['BE', 'LE', 'BI', 'LM', 'M']
['LN', 'SC', 'MG', 'FQ', 'HN']
['FI', 'MH', 'GO', 'HT', 'JX']
['MT', 'OX', 'RV', 'JH', 'RY']
['MZ', 'P', 'GC', 'BD', 'DH']
['DX', 'DB', 'NF', 'HX', 'QC']
['ST', 'GA', 'DE', 'IJ', 'FX']
['IF', 'BR', 'KP', 'PC', 'L']
['DO', 'I', 'BQ', 'RP', 'CS']
['CU', 'A', 'NB', 'LG', 'DN']
['KY', 'OA', 'EX', 'BF', 'TD']
['IH', 'SN', 'BO', 'HV', 'RX']
['TF', 'JI', 'MS', 'PE', 'JR']
['BV', 'RB', 'JL', 'EM', 'R']
['MJ', 'PZ', 'KV', 'OT', 'DL']
['MK', 'PB', 'FZ', 'OF', 'GZ']
['OH', 'K', 'KG', 'MM', 'BU']
['RW', 'FG', 'RU', 'NE', 'LL']
['MN', 'DM', 'BZ', 'SD', 'EK']
['KD', 'EZ', 'PX', 'JP', 'KS']
['OK', 'DV', 'JO', 'FO', 'QU']
['JY', 'DP', 'MC', 'IX', 'DA']
['FY', 'EU', 'V', 'NQ', 'KC']
['LK', 'EI', 'ES', 'HF', 'PO']
['JW', 'LO', 'SQ', 'HK', 'CK']
['KJ', 'OU', 'SF', 'NW', 'HU']
['NC', 'OY', 'IN', 'D', 'SB']
['KM', 'GU', 'JM', 'SE', 'FA']
['SL', 'DY', 'QM', 'EY', 'RD']
['RK', 'EQ', 'IA', 'NN', 'TC']
['KA', 'CE', 'RJ', 'DU', 'SY']
