['0', '31', '62', '93', '124', '155', '186', '217', '248', '279']
['1', '32', '63', '94', '125', '156', '187', '218', '249', '280']
['2', '33', '64', '95', '126', '157', '188', '219', '250', '281']
['3', '34', '65', '96', '127', '158', '189', '220', '251', '282']
['4', '35', '66', '97', '128', '159', '190', '221', '252', '283']
['5', '36', '67', '98', '129', '160', '191', '222', '253', '284']
['6', '37', '68', '99', '130', '161', '192', '223', '254', '285']
['7', '38', '69', '100', '131', '162', '193', '224', '255', '286']
['8', '39', '70', '101', '132', '163', '194', '225', '256', '287']
['9', '40', '71', '102', '133', '164', '195', '226', '257', '288']
['10', '41', '72', '103', '134', '165', '196', '227', '258', '289']
['11', '42', '73', '104', '135', '166', '197', '228', '259', '290']
['12', '43', '74', '105', '136', '167', '198', '229', '260', '291']
['13', '44', '75', '106', '137', '168', '199', '230', '261', '292']
['14', '45', '76', '107', '138', '169', '200', '231', '262', '293']
['15', '46', '77', '108', '139', '170', '201', '232', '263', '294']
['16', '47', '78', '109', '140', '171', '202', '233', '264', '295']
['17', '48', '79', '110', '141', '172', '203', '234', '265', '296']
['18', '49', '80', '111', '142', '173', '204', '235', '266', '297']
['19', '50', '81', '112', '143', '174', '205', '236', '267', '298']
['20', '51', '82', '113', '144', '175', '206', '237', '268', '299']
['21', '52', '83', '114', '145', '176', '207', '238', '269', '300']
['22', '53', '84', '115', '146', '177', '208', '239', '270', '301']
['23', '54', '85', '116', '147', '178', '209', '240', '271', '302']
['24', '55', '86', '117', '148', '179', '210', '241', '272', '303']
['25', '56', '87', '118', '149', '180', '211', '242', '273', '304']
['26', '57', '88', '119', '150', '181', '212', '243', '274', '305']
['27', '58', '89', '120', '151', '182', '213', '244', '275', '306']
['28', '59', '90', '121', '152', '183', '214', '245', '276', '307']
['29', '60', '91', '122', '153', '184', '215', '246', '277', '308']
['30', '61', '92', '123', '154', '185', '216', '247', '278', '309']
