['a', 'cccccccc', 'ggggggg', 'kkkkkk', 'ooooo', 'ssss', 'www', 'AA', 'E', 'GGGGGGGG', 'KKKKKKK', 'OOOOOO', 'SSSSS', 'WWWW', '111', '55']
['b', 'dddddddd', 'hhhhhhh', 'llllll', 'ppppp', 'tttt', 'xxx', 'BB', 'F', 'HHHHHHHH', 'LLLLLLL', 'PPPPPP', 'TTTTT', 'XXXX', '222', '66']
['aa', 'e', 'gggggggg', 'kkkkkkk', 'oooooo', 'sssss', 'wwww', 'AAA', 'EE', 'I', 'KKKKKKKK', 'OOOOOOO', 'SSSSSS', 'WWWWW', '1111', '555']
['bb', 'f', 'hhhhhhhh', 'lllllll', 'pppppp', 'ttttt', 'xxxx', 'BBB', 'FF', 'J', 'LLLLLLLL', 'PPPPPPP', 'TTTTTT', 'XXXXX', '2222', '666']
['aaa', 'ee', 'i', 'kkkkkkkk', 'ooooooo', 'ssssss', 'wwwww', 'AAAA', 'EEE', 'II', 'M', 'OOOOOOOO', 'SSSSSSS', 'WWWWWW', '11111', '5555']
['bbb', 'ff', 'j', 'llllllll', 'ppppppp', 'tttttt', 'xxxxx', 'BBBB', 'FFF', 'JJ', 'N', 'PPPPPPPP', 'TTTTTTT', 'XXXXXX', '22222', '6666']
['aaaa', 'eee', 'ii', 'm', 'oooooooo', 'sssssss', 'wwwwww', 'AAAAA', 'EEEE', 'III', 'MM', 'Q', 'SSSSSSSS', 'WWWWWWW', '111111', '55555']
['bbbb', 'fff', 'jj', 'n', 'pppppppp', 'ttttttt', 'xxxxxx', 'BBBBB', 'FFFF', 'JJJ', 'NN', 'R', 'TTTTTTTT', 'XXXXXXX', '222222', '66666']
['aaaaa', 'eeee', 'iii', 'mm', 'q', 'ssssssss', 'wwwwwww', 'AAAAAA', 'EEEEE', 'IIII', 'MMM', 'QQ', 'U', 'WWWWWWWW', '1111111', '555555']
['bbbbb', 'ffff', 'jjj', 'nn', 'r', 'tttttttt', 'xxxxxxx', 'BBBBBB', 'FFFFF', 'JJJJ', 'NNN', 'RR', 'V', 'XXXXXXXX', '2222222', '666666']
['aaaaaa', 'eeeee', 'iiii', 'mmm', 'qq', 'u', 'wwwwwwww', 'AAAAAAA', 'EEEEEE', 'IIIII', 'MMMM', 'QQQ', 'UU', 'Y', '11111111', '5555555']
['bbbbbb', 'fffff', 'jjjj', 'nnn', 'rr', 'v', 'xxxxxxxx', 'BBBBBBB', 'FFFFFF', 'JJJJJ', 'NNNN', 'RRR', 'VV', 'Z', '22222222', '6666666']
['aaaaaaa', 'eeeeee', 'iiiii', 'mmmm', 'qqq', 'uu', 'y', 'AAAAAAAA', 'EEEEEEE', 'IIIIII', 'MMMMM', 'QQQQ', 'UUU', 'YY', '3', '55555555']
['bbbbbbb', 'ffffff', 'jjjjj', 'nnnn', 'rrr', 'vv', 'z', 'BBBBBBBB', 'FFFFFFF', 'JJJJJJ', 'NNNNN', 'RRRR', 'VVV', 'ZZ', '4', '66666666']
['aaaaaaaa', 'eeeeeee', 'iiiiii', 'mmmmm', 'qqqq', 'uuu', 'yy', 'C', 'EEEEEEEE', 'IIIIIII', 'MMMMMM', 'QQQQQ', 'UUUU', 'YYY', '33', '7']
['bbbbbbbb', 'fffffff', 'jjjjjj', 'nnnnn', 'rrrr', 'vvv', 'zz', 'D', 'FFFFFFFF', 'JJJJJJJ', 'NNNNNN', 'RRRRR', 'VVVV', 'ZZZ', '44', '8']
