['0', '213', '426']
['1', '214', '427']
['2', '215', '428']
['3', '216', '429']
['4', '217', '430']
['5', '218', '431']
['6', '219', '432']
['7', '220', '433']
['8', '221', '434']
['9', '222', '435']
['10', '223', '436']
['11', '224', '437']
['12', '225', '438']
['13', '226', '439']
['14', '227', '440']
['15', '228', '441']
['16', '229', '442']
['17', '230', '443']
['18', '231', '444']
['19', '232', '445']
['20', '233', '446']
['21', '234', '447']
['22', '235', '448']
['23', '236', '449']
['24', '237', '450']
['25', '238', '451']
['26', '239', '452']
['27', '240', '453']
['28', '241', '454']
['29', '242', '455']
['30', '243', '456']
['31', '244', '457']
['32', '245', '458']
['33', '246', '459']
['34', '247', '460']
['35', '248', '461']
['36', '249', '462']
['37', '250', '463']
['38', '251', '464']
['39', '252', '465']
['40', '253', '466']
['41', '254', '467']
['42', '255', '468']
['43', '256', '469']
['44', '257', '470']
['45', '258', '471']
['46', '259', '472']
['47', '260', '473']
['48', '261', '474']
['49', '262', '475']
['50', '263', '476']
['51', '264', '477']
['52', '265', '478']
['53', '266', '479']
['54', '267', '480']
['55', '268', '481']
['56', '269', '482']
['57', '270', '483']
['58', '271', '484']
['59', '272', '485']
['60', '273', '486']
['61', '274', '487']
['62', '275', '488']
['63', '276', '489']
['64', '277', '490']
['65', '278', '491']
['66', '279', '492']
['67', '280', '493']
['68', '281', '494']
['69', '282', '495']
['70', '283', '496']
['71', '284', '497']
['72', '285', '498']
['73', '286', '499']
['74', '287']
['75', '288']
['76', '289']
['77', '290']
['78', '291']
['79', '292']
['80', '293']
['81', '294']
['82', '295']
['83', '296']
['84', '297']
['85', '298']
['86', '299']
['87', '300']
['88', '301']
['89', '302']
['90', '303']
['91', '304']
['92', '305']
['93', '306']
['94', '307']
['95', '308']
['96', '309']
['97', '310']
['98', '311']
['99', '312']
['100', '313']
['101', '314']
['102', '315']
['103', '316']
['104', '317']
['105', '318']
['106', '319']
['107', '320']
['108', '321']
['109', '322']
['110', '323']
['111', '324']
['112', '325']
['113', '326']
['114', '327']
['115', '328']
['116', '329']
['117', '330']
['118', '331']
['119', '332']
['120', '333']
['121', '334']
['122', '335']
['123', '336']
['124', '337']
['125', '338']
['126', '339']
['127', '340']
['128', '341']
['129', '342']
['130', '343']
['131', '344']
['132', '345']
['133', '346']
['134', '347']
['135', '348']
['136', '349']
['137', '350']
['138', '351']
['139', '352']
['140', '353']
['141', '354']
['142', '355']
['143', '356']
['144', '357']
['145', '358']
['146', '359']
['147', '360']
['148', '361']
['149', '362']
['150', '363']
['151', '364']
['152', '365']
['153', '366']
['154', '367']
['155', '368']
['156', '369']
['157', '370']
['158', '371']
['159', '372']
['160', '373']
['161', '374']
['162', '375']
['163', '376']
['164', '377']
['165', '378']
['166', '379']
['167', '380']
['168', '381']
['169', '382']
['170', '383']
['171', '384']
['172', '385']
['173', '386']
['174', '387']
['175', '388']
['176', '389']
['177', '390']
['178', '391']
['179', '392']
['180', '393']
['181', '394']
['182', '395']
['183', '396']
['184', '397']
['185', '398']
['186', '399']
['187', '400']
['188', '401']
['189', '402']
['190', '403']
['191', '404']
['192', '405']
['193', '406']
['194', '407']
['195', '408']
['196', '409']
['197', '410']
['198', '411']
['199', '412']
['200', '413']
['201', '414']
['202', '415']
['203', '416']
['204', '417']
['205', '418']
['206', '419']
['207', '420']
['208', '421']
['209', '422']
['210', '423']
['211', '424']
['212', '425']
