['0', '29', '58', '87', '116', '145', '174', '203', '232', '261', '290', '319', '348', '377', '406', '435', '464', '493']
['1', '30', '59', '88', '117', '146', '175', '204', '233', '262', '291', '320', '349', '378', '407', '436', '465', '494']
['2', '31', '60', '89', '118', '147', '176', '205', '234', '263', '292', '321', '350', '379', '408', '437', '466', '495']
['3', '32', '61', '90', '119', '148', '177', '206', '235', '264', '293', '322', '351', '380', '409', '438', '467']
['4', '33', '62', '91', '120', '149', '178', '207', '236', '265', '294', '323', '352', '381', '410', '439', '468']
['5', '34', '63', '92', '121', '150', '179', '208', '237', '266', '295', '324', '353', '382', '411', '440', '469']
['6', '35', '64', '93', '122', '151', '180', '209', '238', '267', '296', '325', '354', '383', '412', '441', '470']
['7', '36', '65', '94', '123', '152', '181', '210', '239', '268', '297', '326', '355', '384', '413', '442', '471']
['8', '37', '66', '95', '124', '153', '182', '211', '240', '269', '298', '327', '356', '385', '414', '443', '472']
['9', '38', '67', '96', '125', '154', '183', '212', '241', '270', '299', '328', '357', '386', '415', '444', '473']
['10', '39', '68', '97', '126', '155', '184', '213', '242', '271', '300', '329', '358', '387', '416', '445', '474']
['11', '40', '69', '98', '127', '156', '185', '214', '243', '272', '301', '330', '359', '388', '417', '446', '475']
['12', '41', '70', '99', '128', '157', '186', '215', '244', '273', '302', '331', '360', '389', '418', '447', '476']
['13', '42', '71', '100', '129', '158', '187', '216', '245', '274', '303', '332', '361', '390', '419', '448', '477']
['14', '43', '72', '101', '130', '159', '188', '217', '246', '275', '304', '333', '362', '391', '420', '449', '478']
['15', '44', '73', '102', '131', '160', '189', '218', '247', '276', '305', '334', '363', '392', '421', '450', '479']
['16', '45', '74', '103', '132', '161', '190', '219', '248', '277', '306', '335', '364', '393', '422', '451', '480']
['17', '46', '75', '104', '133', '162', '191', '220', '249', '278', '307', '336', '365', '394', '423', '452', '481']
['18', '47', '76', '105', '134', '163', '192', '221', '250', '279', '308', '337', '366', '395', '424', '453', '482']
['19', '48', '77', '106', '135', '164', '193', '222', '251', '280', '309', '338', '367', '396', '425', '454', '483']
['20', '49', '78', '107', '136', '165', '194', '223', '252', '281', '310', '339', '368', '397', '426', '455', '484']
['21', '50', '79', '108', '137', '166', '195', '224', '253', '282', '311', '340', '369', '398', '427', '456', '485']
['22', '51', '80', '109', '138', '167', '196', '225', '254', '283', '312', '341', '370', '399', '428', '457', '486']
['23', '52', '81', '110', '139', '168', '197', '226', '255', '284', '313', '342', '371', '400', '429', '458', '487']
['24', '53', '82', '111', '140', '169', '198', '227', '256', '285', '314', '343', '372', '401', '430', '459', '488']
['25', '54', '83', '112', '141', '170', '199', '228', '257', '286', '315', '344', '373', '402', '431', '460', '489']
['26', '55', '84', '113', '142', '171', '200', '229', '258', '287', '316', '345', '374', '403', '432', '461', '490']
['27', '56', '85', '114', '143', '172', '201', '230', '259', '288', '317', '346', '375', '404', '433', '462', '491']
['28', '57', '86', '115', '144', '173', '202', '231', '260', '289', '318', '347', '376', '405', '434', '463', '492']
